cluster_id,pilot_id,complex_name,addr_legal,addr_road,approval_date,dong_token,alias_applied,sigunguCd,bjdongCd,platGbCd,bun,ji,bjd10,query_variant,variant_of,query_key,parse_status,lookup_status,code_source,needs_review,needs_map_check,dup_cluster_ids,note
A10028158,DEV-DONGTAN2,동탄역모아미래도아파트,경기도 화성동탄구 청계동 49-89,경기도 화성시 동탄청계로 303-33,2015-01-23,청계동,,41597,10500,0,0049,0089,4159710500,new,,41597-10500-0-0049-0089,SUCCESS,SUCCESS,code_go_kr:active,False,False,A10028158,
A10028158,DEV-DONGTAN2,동탄역모아미래도아파트,경기도 화성동탄구 청계동 49-89,경기도 화성시 동탄청계로 303-33,2015-01-23,청계동,,41590,13000,0,0049,0089,4159013000,legacy,A10028158,41590-13000-0-0049-0089,SUCCESS,SUCCESS,code_go_kr:abolished,True,False,A10028158,
A10028167,DEV-DONGTAN2,동탄역 시범 예미지 아파트,경기도 화성동탄구 청계동 510-30,경기도 화성시 동탄대로시범길 192,2015-01-28,청계동,,41597,10500,0,0510,0030,4159710500,new,,41597-10500-0-0510-0030,SUCCESS,SUCCESS,code_go_kr:active,False,False,A10028167|A10028167,DUP_COUNT: 2
A10028167,DEV-DONGTAN2,동탄역 시범 예미지 아파트,경기도 화성동탄구 청계동 510-30,경기도 화성시 동탄대로시범길 192,2015-01-28,청계동,,41590,13000,0,0510,0030,4159013000,legacy,A10028167,41590-13000-0-0510-0030,SUCCESS,SUCCESS,code_go_kr:abolished,True,False,A10028167|A10028167,DUP_COUNT: 2
A10028171,DEV-DONGTAN2,동탄역 시범 리슈빌아파트,경기도 화성동탄구 청계동 513,경기도 화성시 동탄대로시범길 236,2015-01-29,청계동,,41597,10500,0,0513,0000,4159710500,new,,41597-10500-0-0513-0000,SUCCESS,SUCCESS,code_go_kr:active,False,False,A10028171,
A10028171,DEV-DONGTAN2,동탄역 시범 리슈빌아파트,경기도 화성동탄구 청계동 513,경기도 화성시 동탄대로시범길 236,2015-01-29,청계동,,41590,13000,0,0513,0000,4159013000,legacy,A10028171,41590-13000-0-0513-0000,SUCCESS,SUCCESS,code_go_kr:abolished,True,False,A10028171,
A10028071,DEV-DONGTAN2,동탄역센트럴자이아파트,경기도 화성동탄구 영천동 665,경기도 화성시 동탄대로22길 30,2015-01-29,영천동,,41597,10600,0,0665,0000,4159710600,new,,41597-10600-0-0665-0000,SUCCESS,SUCCESS,code_go_kr:active,False,False,A10028071,
A10028071,DEV-DONGTAN2,동탄역센트럴자이아파트,경기도 화성동탄구 영천동 665,경기도 화성시 동탄대로22길 30,2015-01-29,영천동,,41590,13100,0,0665,0000,4159013100,legacy,A10028071,41590-13100-0-0665-0000,SUCCESS,SUCCESS,code_go_kr:abolished,True,False,A10028071,
A10028132,DEV-DONGTAN2,동탄역이지더원아파트,경기도 화성동탄구 영천동 672,경기도 화성시 동탄순환대로28길 17,2015-02-05,영천동,,41597,10600,0,0672,0000,4159710600,new,,41597-10600-0-0672-0000,SUCCESS,SUCCESS,code_go_kr:active,False,False,A10028132,
A10028132,DEV-DONGTAN2,동탄역이지더원아파트,경기도 화성동탄구 영천동 672,경기도 화성시 동탄순환대로28길 17,2015-02-05,영천동,,41590,13100,0,0672,0000,4159013100,legacy,A10028132,41590-13100-0-0672-0000,SUCCESS,SUCCESS,code_go_kr:abolished,True,False,A10028132,
A10028002,DEV-DONGTAN2,동탄역KCC스위첸아파트,경기도 화성동탄구 청계동 303-14,경기도 화성시 동탄청계로 303-14,2015-02-11,청계동,,41597,10500,0,0303,0014,4159710500,new,,41597-10500-0-0303-0014,SUCCESS,SUCCESS,code_go_kr:active,False,False,A10028002,
A10028002,DEV-DONGTAN2,동탄역KCC스위첸아파트,경기도 화성동탄구 청계동 303-14,경기도 화성시 동탄청계로 303-14,2015-02-11,청계동,,41590,13000,0,0303,0014,4159013000,legacy,A10028002,41590-13000-0-0303-0014,SUCCESS,SUCCESS,code_go_kr:abolished,True,False,A10028002,
A10028055,DEV-DONGTAN2,동탄역 시범우남퍼스트빌,경기도 화성동탄구 청계동 35,경기도 화성시 동탄대로시범길 276,2015-02-12,청계동,,41597,10500,0,0035,0000,4159710500,new,,41597-10500-0-0035-0000,SUCCESS,SUCCESS,code_go_kr:active,False,False,A10028055,
A10028055,DEV-DONGTAN2,동탄역 시범우남퍼스트빌,경기도 화성동탄구 청계동 35,경기도 화성시 동탄대로시범길 276,2015-02-12,청계동,,41590,13000,0,0035,0000,4159013000,legacy,A10028055,41590-13000-0-0035-0000,SUCCESS,SUCCESS,code_go_kr:abolished,True,False,A10028055,
