archive_relative_path,filename,extension,mime_type,bytes,sha256,is_canonical_copy,duplicate_of_relative_path,source_ids,source_urls,retrieved_at
documents\화성 동탄2\2022-10-26__수원호매실_화성동탄2_광역교통_특별대책__발표.html,2022-10-26__수원호매실_화성동탄2_광역교통_특별대책__발표.html,.html,text/html,62720,0044dd4613d893129c40e44ee84a2a97ee510a7787a006a75665462d110c7950,true,,,,
documents\인천 계양\2024-09-20_인천계양_A2_공공분양주택_입주자모집공고.html,2024-09-20_인천계양_A2_공공분양주택_입주자모집공고.html,.html,text/html,197323,01bc504183290e9396f18bb39c2584d4b17399188a016a4cba5351052a00c011,true,,SRC-F001,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?aisTpCd=05&ccrCnntSysDsCd=02&mi=1027&panId=0000060752&uppAisTpCd=05,2026-08-31T21:16:29+09:00
documents\인천 계양\2021-01-24_3기_신도시__패스트트랙_교통대책_조기_확정_등으로_신속_공급.html,2021-01-24_3기_신도시__패스트트랙_교통대책_조기_확정_등으로_신속_공급.html,.html,text/html,27350,0553e1245c054ee29e36c23d0263cc561e243ece1b77a9e987de1d594e4cd66b,true,,SRC-E2-B06,http://www.molit.go.kr/mta/USR/N0201/m_36770/dtl.jsp?lcmspage=1&id=95085094,2026-08-31T21:16:29+09:00
"달려간다,미사위례신도시 대중교통.pdf","달려간다,미사위례신도시 대중교통.pdf",.pdf,application/pdf,264217,083f8f6b7c56a257a98f0d1266285c1d0f002be24c227c16f382d5bcdd3f1386,true,,SRC-PDF-083-DOC,https://www.hanam.go.kr/common/print.jsp?siteId=sosik&title=%EB%B3%B4%EB%8F%84%EC%9E%90%EB%A3%8C,2026-09-02T18:18:06+09:00
(정정)250424_교산푸르지오더퍼스트_입주자모집공고.pdf,(정정)250424_교산푸르지오더퍼스트_입주자모집공고.pdf,.pdf,application/pdf,2632888,08438e6ac19967e88de5ae5dfe94e8f5bd891efefd0eb07195d96045b0707fa6,true,,SRC-U002,https://apply.lh.or.kr/lhapply/lhFile.do?fileid=61520164,2026-09-02T18:00:00+09:00
imported\SRC-U002\(정정)250424_교산푸르지오더퍼스트_입주자모집공고.pdf,(정정)250424_교산푸르지오더퍼스트_입주자모집공고.pdf,.pdf,application/pdf,2632888,08438e6ac19967e88de5ae5dfe94e8f5bd891efefd0eb07195d96045b0707fa6,false,(정정)250424_교산푸르지오더퍼스트_입주자모집공고.pdf,SRC-U002,https://apply.lh.or.kr/lhapply/lhFile.do?fileid=61520164,2026-09-02T18:00:00+09:00
documents\하남 미사\2014-03-19_하남미사지구_광역교통개선대책_변경__확정된_바_없어.html,2014-03-19_하남미사지구_광역교통개선대책_변경__확정된_바_없어.html,.html,text/html,151969,0865ac63da6f18919fabca07bdb06cb3b8e0259aa799e6efbe4fbf0be0f72a43,true,,SRC-E1-B10,https://www.korea.kr/briefing/policyBriefingView.do?newsId=148775695,2026-08-31T21:16:29+09:00
documents\김포 한강\2024-01-02_8849번_하남-미사-김포_인천공항__운행시간_정보.html,2024-01-02_8849번_하남-미사-김포_인천공항__운행시간_정보.html,.html,text/html,309650,08bd470d778e7846c46e553e410cfe82112162b8754acb030315bc5e98978d3c,true,,SRC-E1-C03;SRC-E1-C10,https://www.hanam.go.kr/www/contents.do?key=3262,2026-08-31T21:16:29+09:00
documents\하남 미사\2024-01-02_8849번_하남-미사-김포_인천공항__운행시간_정보.html,2024-01-02_8849번_하남-미사-김포_인천공항__운행시간_정보.html,.html,text/html,309650,08bd470d778e7846c46e553e410cfe82112162b8754acb030315bc5e98978d3c,false,documents\김포 한강\2024-01-02_8849번_하남-미사-김포_인천공항__운행시간_정보.html,SRC-E1-C03;SRC-E1-C10,https://www.hanam.go.kr/www/contents.do?key=3262,2026-08-31T21:16:29+09:00
imported\SRC-E2-A08\E2-A08.html,E2-A08.html,.html,text/html,192529,08dd45cadec7c5190d70c69f04a8723764a45beba7ab2fc216d67517dae884f2,false,refetched\E2-A08.html,SRC-E2-A08,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?aisTpCd=05&ccrCnntSysDsCd=02&mi=1027&panId=0000060855&uppAisTpCd=05,2026-08-31T21:16:29+09:00
refetched\E2-A08.html,E2-A08.html,.html,text/html,192529,08dd45cadec7c5190d70c69f04a8723764a45beba7ab2fc216d67517dae884f2,true,,SRC-E2-A08,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?aisTpCd=05&ccrCnntSysDsCd=02&mi=1027&panId=0000060855&uppAisTpCd=05,2026-08-31T21:16:29+09:00
documents\화성 동탄2\2022-10-26__수원호매실_화성동탄2_광역교통_특별대책__발표.pdf,2022-10-26__수원호매실_화성동탄2_광역교통_특별대책__발표.pdf,.pdf,application/pdf,62720,0a6095cb415fbeedd0727303ba11c005733bf4f2d7721122b6d577220077c258,true,,SRC-PDF-051-PROM-1,,2026-09-02T18:18:06+09:00
documents\하남 교산\2020-05-21_하남교산__과천지구_광역교통개선대책_확정.html,2020-05-21_하남교산__과천지구_광역교통개선대책_확정.html,.html,text/html,33649,0adfc0053fb55223522d96d48316b3437838b03fa268aa79333c47e8d5ffbfac,true,,SRC-E2-B08,https://www.molit.go.kr/mta/USR/N0201/m_36770/dtl.jsp?id=95083918&lcmspage=88;https://www.xn--3-3u6ey6lv7rsa.kr/kor/CMS/Board/Board.do?mCode=MN024&page=3&mode=view&mgr_seq=12&board_seq=135,2026-08-31T21:16:29+09:00
documents\인천 계양\2026-07-10_인천계양_A3블록_단지내상가_재분양공고.html,2026-07-10_인천계양_A3블록_단지내상가_재분양공고.html,.html,text/html,176719,0d9239bb1c0b7c81b51ba1a7bde70f065d119672d3b0d3f67655838c0ec98dfd,true,,SRC-F002,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?aisTpCd=23&ccrCnntSysDsCd=04&panId=BN-0001331&uppAisTpCd=22,2026-08-31T21:16:29+09:00
documents\위례\2011-11-29_위례신도시_보금자리_2949가구_내달_5일부터_본청약.html,2011-11-29_위례신도시_보금자리_2949가구_내달_5일부터_본청약.html,.html,text/html,158590,0d97e44a94f96b7a2b340bfcb7c3a8364acd7bed754b4c12ace566c1aa71f6c2,true,,SRC-E1-A05,https://www.korea.kr/news/policyNewsView.do?newsId=148723111,2026-08-31T21:16:29+09:00
(251127)남양주왕숙_B-17BL_공공분양_입주자모집공고문.pdf,(251127)남양주왕숙_B-17BL_공공분양_입주자모집공고문.pdf,.pdf,application/pdf,1541874,0f2f8e767b8aaf98df7013e0bdfb1f133a23c7e784c22ac5ab774d071ffa4e37,true,,SRC-U001,https://apply.lh.or.kr/lhapply/lhFile.do?fileid=64513024,2026-09-02T18:00:00+09:00
imported\SRC-U001\(251127)남양주왕숙_B-17BL_공공분양_입주자모집공고문.pdf,(251127)남양주왕숙_B-17BL_공공분양_입주자모집공고문.pdf,.pdf,application/pdf,1541874,0f2f8e767b8aaf98df7013e0bdfb1f133a23c7e784c22ac5ab774d071ffa4e37,false,(251127)남양주왕숙_B-17BL_공공분양_입주자모집공고문.pdf,SRC-U001,https://apply.lh.or.kr/lhapply/lhFile.do?fileid=64513024,2026-09-02T18:00:00+09:00
