development,시도,시군구,읍면,동리,단지코드,단지명,법정동주소,도로명주소,사용승인일,세대수
김포 한강,경기도,김포시,,운양동,A41506002,김포전원마을월드4단지,경기도 김포시 운양동 1434 김포전원마을월드4단지,경기도 김포시 김포한강11로 158,20001018,282.0
김포 한강,경기도,김포시,,장기동,A41506006,김포한강신도시제일풍경채,경기도 김포시 장기동 1636 김포한강신도시제일풍경채,경기도 김포시 김포한강2로 189,20080328,360.0
김포 한강,경기도,김포시,,장기동,A41506003,장기이지더원,경기도 김포시 장기동 1626 장기이지더원,경기도 김포시 김포한강2로 178,20080425,290.0
김포 한강,경기도,김포시,,장기동,A41506004,이니스더원,경기도 김포시 장기동 1635 이니스더원,경기도 김포시 김포한강3로 290-16,20080501,315.0
김포 한강,경기도,김포시,,장기동,A41506017,김포장기1(초당마을),경기도 김포시 장기동 1598 김포장기1(초당마을),경기도 김포시 김포한강2로 144,20080526,1114.0
김포 한강,경기도,김포시,,장기동,A41506001,김포고창마을신영지웰,경기도 김포시 장기동 1624 김포고창마을신영지웰,경기도 김포시 김포한강2로 168,20080530,267.0
김포 한강,경기도,김포시,,장기동,A41506007,김포한강우미린,경기도 김포시 장기동 1655 김포한강우미린,경기도 김포시 김포한강1로 10,20080612,402.0
김포 한강,경기도,김포시,,장기동,A41574401,김포한강신도시반도유보라,경기도 김포시 장기동 1642 김포한강신도시반도유보라,경기도 김포시 김포한강1로 9,20080627,447.0
김포 한강,경기도,김포시,,장기동,A41574402,한강신도시어울림(고창마을),경기도 김포시 장기동 1629 한강신도시어울림(고창마을),"경기도 김포시 김포한강2로 194,경기도 김포시 김포한강2로 192",20090515,574.0
김포 한강,경기도,김포시,양촌읍,양곡리,A41576906,김포한강 신원 아침도시고다니마을,경기도 김포시 양촌읍 양곡리 1316 김포한강 신원 아침도시고다니마을,경기도 김포시 양곡2로30번길 77,20100709,380.0
김포 한강,경기도,김포시,양촌읍,양곡리,A41576908,양곡고다니마을9단지,경기도 김포시 양촌읍 양곡리 1332 양곡고다니마을9단지,경기도 김포시 김포한강5로 386,20101122,384.0
김포 한강,경기도,김포시,,장기동,A41574404,우남퍼스트빌,경기도 김포시 장기동 2065-1 우남퍼스트빌,경기도 김포시 김포한강2로 103,20110615,1202.0
김포 한강,경기도,김포시,,장기동,A41574405,쌍용예가,경기도 김포시 장기동 2004-4 쌍용예가,경기도 김포시 김포한강2로 11,20110629,1474.0
김포 한강,경기도,김포시,,장기동,A41574406,김포한강 수정마을2단지,경기도 김포시 장기동 2000-3 김포한강 수정마을2단지,경기도 김포시 김포한강2로 12,20110712,1250.0
김포 한강,경기도,김포시,,구래동,A41576911,김포한가람우미린,경기도 김포시 구래동 6873-8 김포한가람우미린,경기도 김포시 김포한강5로 417,20111028,1058.0
김포 한강,경기도,김포시,,장기동,A41574410,고창마을KCC스위첸,경기도 김포시 장기동 1886-2 고창마을KCC스위첸,경기도 김포시 김포한강2로 208,20111031,1090.0
김포 한강,경기도,김포시,,마산동,A41576912,김포한강LH솔터마을2단지,경기도 김포시 마산동 615-1 김포한강LH솔터마을2단지,경기도 김포시 김포한강8로 331,20111118,1860.0
김포 한강,경기도,김포시,,장기동,A41574409,한강신도시중흥S-클래스파크애비뉴,경기도 김포시 장기동 1866-1 한강신도시중흥S-클래스파크애비뉴,경기도 김포시 김포한강2로 362,20120208,1007.0
김포 한강,경기도,김포시,,장기동,A41574407,초당마을래미안한강,경기도 김포시 장기동 2071-2 초당마을래미안한강,경기도 김포시 김포한강2로 69,20120221,579.0
김포 한강,경기도,김포시,,장기동,A41574408,김포한양수자인리버팰리스,경기도 김포시 장기동 1885-10 김포한양수자인리버팰리스,경기도 김포시 김포한강3로 290-13,20120228,1473.0
김포 한강,경기도,김포시,,운양동,A41574202,일성트루엘타운하우스,경기도 김포시 운양동 1294-2 일성트루엘타운하우스,경기도 김포시 김포한강1로 307,20120412,168.0
김포 한강,경기도,김포시,,장기동,A41574411,한강현대성우오스타,경기도 김포시 장기동 1868-2 한강현대성우오스타,경기도 김포시 김포한강2로 292,20120530,465.0
김포 한강,경기도,김포시,,장기동,A41574413,한강호반베르디움,경기도 김포시 장기동 1885-6 한강호반베르디움,경기도 김포시 김포한강2로 229,20120615,1584.0
김포 한강,경기도,김포시,,운양동,A41574203,화성파크드림,경기도 김포시 운양동 1325-7 화성파크드림,경기도 김포시 김포한강11로 38,20120625,648.0
김포 한강,경기도,김포시,,장기동,A41574412,초당마을중흥S클래스리버티,경기도 김포시 장기동 2058-1 초당마을중흥S클래스리버티,경기도 김포시 김포한강2로 113,20120628,1470.0
김포 한강,경기도,김포시,,운양동,A41574201,풍경마을한강신도시e편한세상,경기도 김포시 운양동 1250-3 풍경마을한강신도시e편한세상,경기도 김포시 김포한강11로 287,20120713,955.0
김포 한강,경기도,김포시,,마산동,A47172601,김포한강LH솔터마을3단지,경기도 김포시 마산동 614-10 김포한강LH솔터마을3단지,경기도 김포시 김포한강8로 333,20121123,2230.0
김포 한강,경기도,김포시,,구래동,A41576913,구래역 한강리슈빌아파트 입주자대표회의,경기도 김포시 구래동 6888-2 구래역 한강리슈빌아파트 입주자대표회의,경기도 김포시 김포한강8로 377,20121227,572.0
김포 한강,경기도,김포시,,마산동,A41576914,김포한강 경남아너스빌,경기도 김포시 마산동 639-8 김포한강 경남아너스빌,경기도 김포시 김포한강8로 173-58,20130110,976.0
김포 한강,경기도,김포시,,구래동,A41576915,호수마을e편한세상,경기도 김포시 구래동 6874-17 호수마을e편한세상,경기도 김포시 김포한강5로 385,20130226,1167.0
