development,promise_src_id,promise_cand_id,promise_event_date,promise_date_precision,actual_src_id,actual_cand_id,actual_event_date,actual_date_precision,mode,promise_line_name,actual_line_name,promise_scope,actual_scope,candidate_pairable,fine_precision,delay_days_representative,reason,review_status
화성 동탄2,SRC-H003,H003,2024-H1,half_year,SRC-H005,H005,2024-03-30,day,rail,GTX-A 수서~동탄,GTX-A 수서~동탄,district,corridor,true,false,-92,,draft_needs_human
화성 동탄2,SRC-H003,H003,2024-H1,half_year,SRC-H006,H006,2016-12-09,day,rail,GTX-A 수서~동탄,SRT 수서~부산·목포,district,corridor,false,false,-2760,line_mismatch_or_blank,not_pairable
화성 동탄2,SRC-H003,H003,2024-H1,half_year,SRC-E1-C01,C01,2023-02-01,day,rail,GTX-A 수서~동탄,,district,corridor,false,false,-515,mode_mismatch_or_blank;line_mismatch_or_blank;inactive_source,not_pairable
화성 동탄2,SRC-H003,H003,2024-H1,half_year,SRC-E1-C02,C02,2023-02-01,day,rail,GTX-A 수서~동탄,,district,corridor,false,false,-515,mode_mismatch_or_blank;line_mismatch_or_blank;inactive_source,not_pairable
화성 동탄2,SRC-H004,H004,미정,unknown,SRC-H005,H005,2024-03-30,day,express_bus,동탄 광역버스,GTX-A 수서~동탄,district,corridor,false,false,,mode_mismatch_or_blank;line_mismatch_or_blank;promise_target_unknown,not_pairable
화성 동탄2,SRC-H004,H004,미정,unknown,SRC-H006,H006,2016-12-09,day,express_bus,동탄 광역버스,SRT 수서~부산·목포,district,corridor,false,false,,mode_mismatch_or_blank;line_mismatch_or_blank;promise_target_unknown,not_pairable
화성 동탄2,SRC-H004,H004,미정,unknown,SRC-E1-C01,C01,2023-02-01,day,express_bus,동탄 광역버스,,district,corridor,false,false,,line_mismatch_or_blank;promise_target_unknown;inactive_source,not_pairable
화성 동탄2,SRC-H004,H004,미정,unknown,SRC-E1-C02,C02,2023-02-01,day,express_bus,동탄 광역버스,,district,corridor,false,false,,line_mismatch_or_blank;promise_target_unknown;inactive_source,not_pairable
화성 동탄2,SRC-E1-B01,B01,2023년 상반기,half_year,SRC-H005,H005,2024-03-30,day,express_bus,동탄 서울방면 광역버스,GTX-A 수서~동탄,district,corridor,false,false,274,mode_mismatch_or_blank;line_mismatch_or_blank,not_pairable
화성 동탄2,SRC-E1-B01,B01,2023년 상반기,half_year,SRC-H006,H006,2016-12-09,day,express_bus,동탄 서울방면 광역버스,SRT 수서~부산·목포,district,corridor,false,false,-2394,mode_mismatch_or_blank;line_mismatch_or_blank,not_pairable
화성 동탄2,SRC-E1-B01,B01,2023년 상반기,half_year,SRC-E1-C01,C01,2023-02-01,day,express_bus,동탄 서울방면 광역버스,,district,corridor,false,false,-149,line_mismatch_or_blank;inactive_source,not_pairable
화성 동탄2,SRC-E1-B01,B01,2023년 상반기,half_year,SRC-E1-C02,C02,2023-02-01,day,express_bus,동탄 서울방면 광역버스,,district,corridor,false,false,-149,line_mismatch_or_blank;inactive_source,not_pairable
화성 동탄2,SRC-E1-B02,B02,2022년 6월,month,SRC-H005,H005,2024-03-30,day,,동탄 광역교통 개선대책,GTX-A 수서~동탄,district,corridor,false,true,639,mode_mismatch_or_blank;line_mismatch_or_blank,not_pairable
화성 동탄2,SRC-E1-B02,B02,2022년 6월,month,SRC-H006,H006,2016-12-09,day,,동탄 광역교통 개선대책,SRT 수서~부산·목포,district,corridor,false,true,-2029,mode_mismatch_or_blank;line_mismatch_or_blank,not_pairable
화성 동탄2,SRC-E1-B02,B02,2022년 6월,month,SRC-E1-C01,C01,2023-02-01,day,,동탄 광역교통 개선대책,,district,corridor,false,true,216,mode_mismatch_or_blank;line_mismatch_or_blank;inactive_source,not_pairable
화성 동탄2,SRC-E1-B02,B02,2022년 6월,month,SRC-E1-C02,C02,2023-02-01,day,,동탄 광역교통 개선대책,,district,corridor,false,true,216,mode_mismatch_or_blank;line_mismatch_or_blank;inactive_source,not_pairable
김포 한강,SRC-H009,H009,2018,year,SRC-H011,H011,2019-09-28,day,rail,김포도시철도(김포골드라인),김포도시철도(김포골드라인),adjacent_corridor,district,false,false,271,adjacent_corridor,not_pairable
김포 한강,SRC-H009,H009,2018,year,SRC-H012,H012,2019-09-28,day,rail,김포도시철도(김포골드라인),김포도시철도(김포골드라인),adjacent_corridor,district,false,false,271,adjacent_corridor,not_pairable
김포 한강,SRC-H009,H009,2018,year,SRC-E1-C03,C03,2024-01-02,day,rail,김포도시철도(김포골드라인),,adjacent_corridor,corridor,false,false,1828,mode_mismatch_or_blank;line_mismatch_or_blank;adjacent_corridor,not_pairable
김포 한강,SRC-H009,H009,2018,year,SRC-E1-C04,C04,2023-02-01,day,rail,김포도시철도(김포골드라인),,adjacent_corridor,corridor,false,false,1493,mode_mismatch_or_blank;line_mismatch_or_blank;adjacent_corridor;inactive_source,not_pairable
김포 한강,SRC-H010,H010,2018,year,SRC-H011,H011,2019-09-28,day,rail,김포도시철도(김포골드라인),김포도시철도(김포골드라인),district,district,true,false,271,,draft_needs_human
김포 한강,SRC-H010,H010,2018,year,SRC-H012,H012,2019-09-28,day,rail,김포도시철도(김포골드라인),김포도시철도(김포골드라인),district,district,true,false,271,,draft_needs_human
김포 한강,SRC-H010,H010,2018,year,SRC-E1-C03,C03,2024-01-02,day,rail,김포도시철도(김포골드라인),,district,corridor,false,false,1828,mode_mismatch_or_blank;line_mismatch_or_blank,not_pairable
김포 한강,SRC-H010,H010,2018,year,SRC-E1-C04,C04,2023-02-01,day,rail,김포도시철도(김포골드라인),,district,corridor,false,false,1493,mode_mismatch_or_blank;line_mismatch_or_blank;inactive_source,not_pairable
김포 한강,SRC-E1-B03,B03,2021년 6월,month,SRC-H011,H011,2019-09-28,day,express_bus,김포한강 광역교통 개선대책,김포도시철도(김포골드라인),district,district,false,true,-641,mode_mismatch_or_blank;line_mismatch_or_blank,not_pairable
김포 한강,SRC-E1-B03,B03,2021년 6월,month,SRC-H012,H012,2019-09-28,day,express_bus,김포한강 광역교통 개선대책,김포도시철도(김포골드라인),district,district,false,true,-641,mode_mismatch_or_blank;line_mismatch_or_blank,not_pairable
김포 한강,SRC-E1-B03,B03,2021년 6월,month,SRC-E1-C03,C03,2024-01-02,day,express_bus,김포한강 광역교통 개선대책,,district,corridor,false,true,916,line_mismatch_or_blank,not_pairable
김포 한강,SRC-E1-B03,B03,2021년 6월,month,SRC-E1-C04,C04,2023-02-01,day,express_bus,김포한강 광역교통 개선대책,,district,corridor,false,true,581,line_mismatch_or_blank;inactive_source,not_pairable
김포 한강,SRC-E1-B04,B04,2022년 11월,month,SRC-H011,H011,2019-09-28,day,rail,김포한강2 철도 연계대책,김포도시철도(김포골드라인),district,district,false,true,-1159,line_mismatch_or_blank,not_pairable
김포 한강,SRC-E1-B04,B04,2022년 11월,month,SRC-H012,H012,2019-09-28,day,rail,김포한강2 철도 연계대책,김포도시철도(김포골드라인),district,district,false,true,-1159,line_mismatch_or_blank,not_pairable
김포 한강,SRC-E1-B04,B04,2022년 11월,month,SRC-E1-C03,C03,2024-01-02,day,rail,김포한강2 철도 연계대책,,district,corridor,false,true,398,mode_mismatch_or_blank;line_mismatch_or_blank,not_pairable
김포 한강,SRC-E1-B04,B04,2022년 11월,month,SRC-E1-C04,C04,2023-02-01,day,rail,김포한강2 철도 연계대책,,district,corridor,false,true,63,mode_mismatch_or_blank;line_mismatch_or_blank;inactive_source,not_pairable
위례,SRC-H015,H015,2026-H2,half_year,SRC-H017,H017,2021-12-18,day,tram,위례선 트램,수도권 전철 8호선 남위례역,district,district,false,false,-1839,mode_mismatch_or_blank;line_mismatch_or_blank,not_pairable
위례,SRC-H015,H015,2026-H2,half_year,SRC-H018,H018,2023-08-30,day,tram,위례선 트램,위례 똑버스,district,district_sector,false,false,-1219,mode_mismatch_or_blank;line_mismatch_or_blank,not_pairable
위례,SRC-H015,H015,2026-H2,half_year,SRC-E1-C05,C05,2025년 9월,month,tram,위례선 트램,,district,corridor,false,false,-457,line_mismatch_or_blank,not_pairable
위례,SRC-H015,H015,2026-H2,half_year,SRC-E1-C06,C06,2026년,year,tram,위례선 트램,,district,district,false,false,0,line_mismatch_or_blank,not_pairable
위례,SRC-H016,H016,2026-12,month,SRC-H017,H017,2021-12-18,day,tram,위례선 트램,수도권 전철 8호선 남위례역,district,district,false,true,-1839,mode_mismatch_or_blank;line_mismatch_or_blank,not_pairable
위례,SRC-H016,H016,2026-12,month,SRC-H018,H018,2023-08-30,day,tram,위례선 트램,위례 똑버스,district,district_sector,false,true,-1219,mode_mismatch_or_blank;line_mismatch_or_blank,not_pairable
위례,SRC-H016,H016,2026-12,month,SRC-E1-C05,C05,2025년 9월,month,tram,위례선 트램,,district,corridor,false,true,-457,line_mismatch_or_blank,not_pairable
