cand_id_namespaced,action,http_status,bytes,file_kind,source_url,local_path,result
H001,reuse_checked_local,200,84516,html,https://www.lh.or.kr/gallery.es?act=view&b_list=8&bid=0003&keyField=&list_no=7977&mid=a10502000000&nPage=342&orderby=&vlist_no_npage=547,C:\Users\parkd\new project\Transport-gap-audit\evidence\documents\화성 동탄2\2015-01-23_LH_수도권_최대_신도시_동탄_2_지구__첫_입주_시작.html,MANUAL_CONFIRM
H002,reuse_checked_local,200,77151,html,https://www.molit.go.kr/USR/NEWS/m_18578/dtl.jsp?id=155208949&lcmspage=157,C:\Users\parkd\new project\Transport-gap-audit\evidence\documents\화성 동탄2\2007-05-11_동탄_2_신도시_개발계획_확정.html,MANUAL_CONFIRM
H003,reuse_checked_local,200,28790,html,https://www.molit.go.kr/mta/USR/N0201/m_36770/dtl.jsp?id=95087345&lcmspage=5,C:\Users\parkd\new project\Transport-gap-audit\evidence\documents\화성 동탄2\2022-10-26_수원호매실_화성동탄2_광역교통_특별대책.html,MANUAL_CONFIRM
H004,reuse_checked_local,200,23410,html,https://www.molit.go.kr/mta/USR/N0201/m_36770/dtl.jsp?id=95086846&lcmspage=1,C:\Users\parkd\new project\Transport-gap-audit\evidence\documents\화성 동탄2\2022-06-16_수원호매실_화성동탄2_광역교통_특별대책_주민간담회.html,PARAPHRASE
H005,reuse_checked_local,200,58587,html,https://www.molit.go.kr/USR/NEWS/m_72/dtl.jsp?id=95089607&lcmspage=2,C:\Users\parkd\new project\Transport-gap-audit\evidence\documents\화성 동탄2\2024-03-29_GTX-A_수서_동탄_구간_3월_30일_개통.html,PARAPHRASE
H006,reuse_checked_local,200,42904,html,https://www.srail.or.kr/cms/article/view.do?pageId=KR0502000000&postNo=56,C:\Users\parkd\new project\Transport-gap-audit\evidence\documents\화성 동탄2\2016-12-09__Start_SRT__기대_속_첫_출발.html,PARAPHRASE
H007,reuse_checked_local,200,61161,html,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95068404&lcmspage=346,C:\Users\parkd\new project\Transport-gap-audit\evidence\documents\김포 한강\2011-06-30_김포한강신도시_아파트_첫_입주_등_입주물량_증가세.html,MANUAL_CONFIRM
H008,reuse_checked_local,200,75413,html,https://kms.ggc.go.kr/cms/mntsViewer.do?mntsId=718,C:\Users\parkd\new project\Transport-gap-audit\evidence\documents\김포 한강\2011-05-03_경기도의회_제258회_임시회_회의록.html,MANUAL_CONFIRM
H009,reuse_checked_local,200,11321040,pdf,https://lh.or.kr/boardDownload.es?bid=0034&list_no=646642&seq=3,C:\Users\parkd\new project\Transport-gap-audit\evidence\documents\김포 한강\2017_김포양곡_행복주택_지역위치도_교통망도.pdf,MANUAL_CONFIRM
H010,reuse_checked_local,200,20512357,pdf,https://lh.or.kr/boardDownload.es?bid=0034&list_no=646666&seq=3,C:\Users\parkd\new project\Transport-gap-audit\evidence\documents\김포 한강\2017_김포한강_행복주택_지역위치도_교통망도.pdf,MANUAL_CONFIRM
