cand_id,development,event_type,source_type,title,publisher,published_date,source_url,file_kind,event_date_초안,date_precision,mode,scope,promise_verb_원문표기,page_or_section,exact_excerpt,confidence,notes,url_clean,domain_check,http_status,file_kind_actual,kind_mismatch,sha256_raw,bytes,local_path,sha256_text,dup_of,excerpt_found,excerpt_sim,retrieved_at,review_status,reject_reason
A01,화성 동탄2,occupancy_start,공공기관 공고,화성동탄2 C-27블록 공공분양주택 입주자모집공고,LH,2026-05-29,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=0000061101&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05&mi=1027,html,2029년 06월,month,분양,개별 블록,입주예정일 : 2029년 06월,공고문 본문,"- 입주예정일 : 2029년 06월. ■ 이 주택의 입주자모집공고일은 2026.05.29.(금)이며, 이는 청약자격의 판단기준일이 됩니다. 소재지 : 경기도 화성시 동탄구 신동 화성동탄2 C-27블록.",high,원문 직접 확인,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=0000061101&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05&mi=1027,ALLOW,200,html,,8c425455ac503ddd63d6d6a57eab177703472928873e315bffedf97995c2872e,197054,evidence\documents\화성 동탄2\2026-05-29_화성동탄2_C-27블록_공공분양주택_입주자모집공고.html,a8b13a087f551a731b47df100efd01b162b908577d464fa92e109d0fe769b08f,,N,0.512,2026-08-26T20:19:53+09:00,needs_human,인용문:N
A02,화성 동탄2,occupancy_start,언론 단서,"LH, 동탄2 공공분양 473가구 공급…7년만에 재개",연합뉴스,2026-05-29,원문: https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=0000061101,html,2029년 06월,month,분양,개별 블록,입주 예정 시기는 2029년,기사 본문,"이번 공급은 동 지구 내에서 2019년 화성동탄2 A104블록 공급 이후 약 7년 만에 이뤄지는 공공분양이다. 해당 블록은 공공분양주택 473가구, 오피스텔 90실 등 총 563실 규모다.",low,단서기사: https://www.yna.co.kr/view/AKR20260529032400003,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=0000061101,ALLOW,200,html,,def247ee3e61c7b5d8576d67e52b47efb3c3786432cc144a9e0ed757d84a253b,2775,evidence\documents\화성 동탄2\2026-05-29_LH__동탄2_공공분양_473가구_공급_7년만에_재개.html,490ac6a8fffd3057ad44ad41b76a65f0b94e62b72bd4a689f188d74846f87814,,N,0.073,2026-08-26T20:19:56+09:00,needs_human,인용문:N
B01,화성 동탄2,promise_date,국토교통부 보도자료,「수원호매실·화성동탄2 광역교통 특별대책」 발표,국토교통부,2022-10-26,https://molit.go.kr/USR/NEWS/m_71/dtl.jsp?lcmspage=2&id=95087345,pdf,2023년 상반기,year,광역교통,지구 전체,2023년 상반기까지 서울 방면 광역버스 4개 노선 9대를 증차,보도자료 본문,"광역버스, 시내버스 등 신속히 투입 가능한 대중교통 중심 대책 마련. 2023년 상반기까지 서울 방면 광역버스 4개 노선 9대를 증차하고, 출퇴근 전세버스 6개 노선은 기존 41회에서 60회로 확대하기로 했다.",high,원문 PDF 첨부파일 존재,https://molit.go.kr/USR/NEWS/m_71/dtl.jsp?lcmspage=2&id=95087345,ALLOW,200,html,Y,0044dd4613d893129c40e44ee84a2a97ee510a7787a006a75665462d110c7950,62720,evidence\documents\화성 동탄2\2022-10-26__수원호매실_화성동탄2_광역교통_특별대책__발표.html,7ec817e24b0e5e491de2e3dfea70083480103d8f1dac795cd6a73ef95e08247e,,N,0.425,2026-08-26T20:19:59+09:00,needs_human,파일형식불일치; 인용문:N
B02,화성 동탄2,promise_date,국토교통부 보도자료,수원 호매실[17일]·화성 동탄2지구[21일] 광역교통 주민간담회 개최,국토교통부,2022-06-16,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?lcmspage=6&id=95086846,pdf,2022년 6월,month,광역교통,지구 전체,광역교통 개선대책 수립 추진,보도자료 본문,"국토교통부 대도시권광역교통위원회는 6월 17일 수원 호매실지구, 6월 21일 화성 동탄2지구에서 광역교통 개선대책 수립을 위한 주민간담회를 개최한다.",high,원문 PDF 첨부파일 존재,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?lcmspage=6&id=95086846,ALLOW,200,html,Y,4977928568e807e95b1759306e01bab4cce6650d55fe03994b459ef9667d0946,61789,evidence\documents\화성 동탄2\2022-06-16_수원_호매실_17일__화성_동탄2지구_21일__광역교통_주민간담회_개최.html,ad250c0ff84092001fc001c9ba713564238c24486b3e2e38f58be7342f646ab5,,N,0.378,2026-08-26T20:20:04+09:00,needs_human,파일형식불일치; 인용문:N
C01,화성 동탄2,actual_operation,지자체 공지,화성 동탄신도시∼김포공항 버스 노선 내달 1일부터 운행,화성시,2023-01-31,원문: 화성시 공지 URL 필요,html,2023-02-01,day,버스 노선,개별 노선,2월 1일 운행을 시작,기사 본문,(화성=연합뉴스) 최해민 기자 = 경기 화성 동탄신도시에서 김포공항을 연결하는 8840번 공항버스가 내달 1일 운행을 시작한다. 화성시는 31일 동탄1 버스 공영차고지에서 정명근 시장과 이원욱 국회의원 등 10여명이 참석한 가운데 공항버스 개통 행사를 열었다.,low,단서기사: https://www.yna.co.kr/view/AKR20230131105400061. 원문 화성시 공지 URL 미확인,화성시 공지 URL 필요,UNKNOWN,INVALID_URL,,,,0,,,,,,2026-08-26T20:20:04+09:00,rejected,비원문/URL불량
C02,화성 동탄2,actual_operation,언론 단서,화성 동탄~김포공항 연결하는 '8840번' 버스… 2월1일부터,경기일보,2023-01-31,원문: 화성시 공지 URL 필요,html,2023-02-01,day,버스 노선,개별 노선,2월 1일부터 운행,기사 본문,"화성 동탄신도시와 김포공항을 잇는 8840번 공항버스가 2월 1일부터 운행된다. 화성시는 1월 31일 동탄1버스공영차고지에서 정명근 시장과 이원욱 국회의원, 시·도의원 등 10여명이 참석한 가운데 공항버스 개통 행사를 열었다.",low,단서기사: https://www.kyeonggi.com/article/20230131580226. 원문 화성시 공지 URL 미확인,화성시 공지 URL 필요,UNKNOWN,INVALID_URL,,,,0,,,,,,2026-08-26T20:20:04+09:00,rejected,비원문/URL불량
A03,김포 한강,occupancy_start,공공기관 공고,김포한강 Ac-01a블록 10년 공공임대주택리츠 입주자 모집공고,LH,2026-06-19,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=0000061106&ccrCnntSysDsCd=02&uppAisTpCd=06&aisTpCd=08&mi=1026,html,2020년 06월,month,임대,개별 블록,입주예정월 : 2020년 06월,공고문 본문,- 입주예정월 : 2020년 06월. 소재지 : 경기도 김포시 김포한강4로 129 (장기동). 공고일 2026.06.19.,high,원문 직접 확인,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=0000061106&ccrCnntSysDsCd=02&uppAisTpCd=06&aisTpCd=08&mi=1026,ALLOW,200,html,,1b2ff982d5fe4cfb4d4ee83f764c717069b1e2c97fd538e2a99a78d88520c0fa,200983,evidence\documents\김포 한강\2026-06-19_김포한강_Ac-01a블록_10년_공공임대주택리츠_입주자_모집공고.html,1097588ccf2141b1bd6d2ab8f82f37c8caa4bb1429c4435c719b22870c9d30b8,,N,0.43,2026-08-26T20:20:07+09:00,needs_human,인용문:N
A04,김포 한강,occupancy_start,공공기관 공고,김포한강 Ac-05블록 10년 공공임대주택(리츠) 예비입주자 모집공고,LH,2025-04-17,https://zippoom.com/%EB%B8%94%EB%A1%9C%EA%B7%B8/%EA%B9%80%ED%8F%AC%ED%95%9C%EA%B0%95-Ac-05%EB%B8%94%EB%A1%9D-10%EB%85%84-%EA%B3%B5%EA%B3%B5%EC%9E%84%EB%8C%80%EC%A3%BC%ED%83%9D(%EB%A6%AC%EC%B8%A0)-%EC%98%88%EB%B9%84%EC%9E%85%EC%A3%BC%EC%9E%90-%EB%AA%A8%EC%A7%91%EA%B3%B5%EA%B3%A0-%EC%8B%A0%EC%B2%AD%EC%9E%90%EA%B2%A9-%EC%8B%A0%EC%B2%AD%EB%B0%A9%EB%B2%95/1071,html,2020년 06월,month,임대,개별 블록,입주예정월 : 2020년 06월,공고문 요약,김포한강 Ac-05블록 10년 공공임대주택(리츠) 예비입주자 모집공고. 입주예정월 2020년 06월.,low,원문 LH 공고 URL 필요. 현재는 블로그 요약,https://zippoom.com/%EB%B8%94%EB%A1%9C%EA%B7%B8/%EA%B9%80%ED%8F%AC%ED%95%9C%EA%B0%95-Ac-05%EB%B8%94%EB%A1%9D-10%EB%85%84-%EA%B3%B5%EA%B3%B5%EC%9E%84%EB%8C%80%EC%A3%BC%ED%83%9D(%EB%A6%AC%EC%B8%A0,DENY,DENIED,,,,0,,,,,,2026-08-26T20:20:07+09:00,rejected,비원문/URL불량
B03,김포 한강,promise_date,국토교통부 보도자료,"[참고] 서부권 2기 신도시(김포한강, 인천검단) 교통개선 대책",국토교통부,2021-06-29,https://molit.go.kr/USR/NEWS/m_71/dtl.jsp?lcmspage=59&id=95085721,pdf,2021년 6월,month,광역교통,지구 전체,광역교통개선대책 확정,보도자료 본문,"서부권 2기 신도시(김포한강, 인천검단) 교통개선 대책. 국토교통부는 김포한강신도시의 광역교통개선대책을 확정하였다.",high,원문 PDF 첨부파일 존재,https://molit.go.kr/USR/NEWS/m_71/dtl.jsp?lcmspage=59&id=95085721,ALLOW,200,html,Y,724ddf75001dcf20706283c799fd80f2afe9cf86db840e743cf727343d0826dc,352543,evidence\documents\김포 한강\2021-06-29__참고__서부권_2기_신도시_김포한강__인천검단__교통개선_대책.html,26c3147ddaa55d4606c24029d9c0a65bc2bcca9e6d9794f204cbbfb6e784d4fb,,N,0.474,2026-08-26T20:20:11+09:00,needs_human,파일형식불일치; 인용문:N
B04,김포 한강,promise_date,국토교통부 보도자료,수도권 서부지역의 광역교통 확충 등 지역현안 해결 추진,국토교통부,2022-11-11,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95087432,pdf,2022년 11월,month,광역교통,지구 전체,김포한강2 콤팩트시티 조성,보도자료 본문,서울5호선ㆍGTX 등과 연계한 김포한강2 콤팩트시티 조성. 국토교통부는 수도권 서부지역의 광역교통 확충 등 지역현안 해결을 추진한다.,high,원문 PDF 첨부파일 존재,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95087432,ALLOW,200,html,Y,9cc46a0d922e79590787a43049feb1a04f75fdb6ca7a5f4c16d9a68f6b207409,69200,evidence\documents\김포 한강\2022-11-11_수도권_서부지역의_광역교통_확충_등_지역현안_해결_추진.html,d8fc4885aa7a8fde2d635cb959b940ed48214002946970e20cd48d71e12c685e,,N,0.486,2026-08-26T20:20:15+09:00,needs_human,파일형식불일치; 인용문:N
