source_id,development,source_type,title,publisher,published_date,retrieved_at,source_url,local_path,sha256,page_or_section,exact_excerpt,event_type,event_date,date_precision,mode,scope,confidence,review_status,notes,cand_id,cand_id_namespaced,cohort_type,landing_url,file_kind,event_date_normalized,event_date_lower,event_date_upper,line_name,promise_verb_원문표기,http_status,bytes,local_text_path,excerpt_found,excerpt_sim,review_issue,reject_reason,pairable,commitment_version,dup_of,block_name,document_version,version_status,supersedes_source_id,attachment_source_url,attachment_local_path,attachment_sha256,service_headway,service_first,service_last,timetable_effective_date,event_date_basis,evidence_role,document_verified,verification_method,verified_at,pdf_id,raw_pdf_path,pdf_sha256,pdf_match_method,pdf_match_confidence,pdf_disposition,pdf_extraction_status,pdf_page_count,pdf_text_chars,excerpt_source_path,excerpt_char_start,excerpt_char_end,plan_confirmed_date,target_completion_date,target_date_precision,human_verified,human_verifier,human_verified_at,human_check_items,censored,as_of_date,censoring_evidence_source_id,clue_url,contradiction_flag,contradiction_note
SRC-E1-A01,화성 동탄2,공공기관 공고,화성동탄2 C-27블록 공공분양주택 입주자모집공고,LH,2026-05-29,2026-08-31T21:16:29+09:00,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=0000061101&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05&mi=1027,data/raw/evidence/documents/화성 동탄2/2026-05-29_화성동탄2_C-27블록_공공분양주택_입주자모집공고.html,8c425455ac503ddd63d6d6a57eab177703472928873e315bffedf97995c2872e,LH 청약플러스 모집공고 본문 > 단지정보 > 입주예정일 항목,입주예정일 : 2029년 06월 (화성동탄2 C-27블록 공공분양주택),occupancy_planned_block,2029년 06월,month,,block,high,verified,원문 직접 확인,A01,E1-A01,2G_historical,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=0000061101&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05&mi=1027,html,2029-06-30,2029-06-01,2029-06-30,,입주예정일 : 2029년 06월,200,197054,evidence/text/2026-05-29_화성동탄2_C-27블록_공공분양주택_입주자모집공고.txt,Y_NORMALIZED,0.98,,,FALSE,1,,C-27,v2,latest,SRC-PDF-071-OCCU-1,,,,,,,,입주자모집공고/공급정보의 입주예정일,planned_block,unverified,,,,,,,,,,,,2026-05-29_화성동탄2_C-27블록_공공분양주택_입주자모집공고.txt,,,,,,TRUE,parkd,2026-09-02T20:11:00+09:00,A1B1C1D1E1,,,,,,
SRC-E1-A02,화성 동탄2,언론 단서,"LH, 동탄2 공공분양 473가구 공급…7년만에 재개",연합뉴스,2026-05-29,2026-08-31T21:16:29+09:00,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=0000061101&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05&mi=1027,data/raw/evidence/refetched/E1-A02.html,483a159ffdcd7600d071b1685f6411f9cbfc6159229dc73d2c118476b8c21b7d,LH 청약플러스 모집공고 본문 > 단지정보 > 입주예정일 항목,전용면적(㎡) : 59.63 ~ 84.99 총 세대수 : 473 난방방식 : 지역난방 입주예정일 : 2029년 06월,occupancy_planned_block,2029년 06월,month,,block,low,verified,단서기사: https://www.yna.co.kr/view/AKR20260529032400003,A02,E1-A02,2G_historical,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=0000061101&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05&mi=1027,html,2029-06-30,2029-06-01,2029-06-30,,입주 예정 시기는 2029년,200,197054,C:\Users\parkd\Documents\Codex\2026-08-20\files-mentioned-by-the-user-30-2\evidence\text\E1-A02.txt,Y_NORMALIZED,0.98,,,FALSE,1,,,,,,,,,,,,,입주자모집공고/공급정보의 입주예정일,planned_block,unverified,,,,,,,,,,,,E1-A02.txt,,,,,,TRUE,parkd,2026-09-02T20:11:00+09:00,A1B1C1D1E1,,,,,,
SRC-E1-A03,김포 한강,공공기관 공고,김포한강 Ac-01a블록 10년 공공임대주택리츠 입주자 모집공고,LH,2026-06-19,2026-08-31T21:16:29+09:00,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=0000061106&ccrCnntSysDsCd=02&uppAisTpCd=06&aisTpCd=08&mi=1026,data/raw/evidence/documents/김포 한강/2026-06-19_김포한강_Ac-01a블록_10년_공공임대주택리츠_입주자_모집공고.html,1b2ff982d5fe4cfb4d4ee83f764c717069b1e2c97fd538e2a99a78d88520c0fa,LH 김포한강 Ac-05 모집공고 > 단지정보 > 입주예정월 항목,입주예정월 : 2020년 06월 (김포한강 Ac-05블록 공공분양),occupancy_planned_block,2020년 06월,month,,block,high,verified,원문 직접 확인,A03,E1-A03,2G_historical,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=0000061106&ccrCnntSysDsCd=02&uppAisTpCd=06&aisTpCd=08&mi=1026,html,2020-06-30,2020-06-01,2020-06-30,,입주예정월 : 2020년 06월,200,200983,evidence/text/2026-06-19_김포한강_Ac-01a블록_10년_공공임대주택리츠_입주자_모집공고.txt,Y_NORMALIZED,0.98,,,FALSE,1,,,,,,,,,,,,,입주자모집공고/공급정보의 입주예정일,planned_block,unverified,,,,,,,,,,,,2026-06-19_김포한강_Ac-01a블록_10년_공공임대주택리츠_입주자_모집공고.txt,,,,,,TRUE,parkd,2026-09-02T20:11:00+09:00,A1B1C1D1E1,,,,,,
SRC-E1-A04,김포 한강,공공기관 공고,김포한강 Ac-05블록 10년 공공임대주택리츠 예비입주자 모집공고(2026.08.25),LH,2026-08-25,2026-09-02T18:00:00+09:00,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=0000061160&ccrCnntSysDsCd=02&uppAisTpCd=06&aisTpCd=08&mi=1026,data/raw/evidence/documents/target_refresh_20260902/SRC-E1-A04_2026-09-02.html,dd1eea25a083869bc0080717335818364f5c6e839c8171398874506adedc1b68,LH 김포한강Ac-05 공고 > 공급정보 > 입주예정월 항목,입주예정월 : 2017년 08월 (김포한강Ac-05블록),occupancy_planned_block,2017-08,month,,block,high,verified,기존 2020년 6월 주장은 현재 공식 링크에서 확인되지 않음; 공식 화면은 입주예정월 2017년 08월로 표시,A04,E1-A04,2G_historical,,html,2017-08-31,2017-08-01,2017-08-31,,입주예정월 : 2017년 08월,200,201072,data/staged/html_text/dd1eea25a083869bc0080717335818364f5c6e839c8171398874506adedc1b68.txt,Y_NORMALIZED,0.98,,,FALSE,1,,Ac-05,,,,https://apply.lh.or.kr/lhapply/lhFile.do?fileid=68207078,data/raw/evidence/김포한강Ac-05블록(센트럴블루힐)10년공공임대주택리츠예비입주자모집공고문(26.08.25).pdf,bff83f4d343364fcf84955d49a59748b9f82b4116f02cfbfb70ca9e5c3ba6b9d,,,,,입주자모집공고/공급정보의 입주예정일,planned_block,unverified,ai_extraction_pending_human_page_check,,PDF-076,data/raw/evidence/김포한강Ac-05블록(센트럴블루힐)10년공공임대주택리츠예비입주자모집공고문(26.08.25).pdf,bff83f4d343364fcf84955d49a59748b9f82b4116f02cfbfb70ca9e5c3ba6b9d,targeted_manual_mapping,1.0,,,,,PDF (bff83f…) 추출 txt,,,,,,TRUE,parkd,2026-09-02T20:22:00+09:00,A1B1C1D1E1,,,,https://zippoom.com/%EB%B8%94%EB%A1%9C%EA%B7%B8/%EA%B9%80%ED%8F%AC%ED%95%9C%EA%B0%95-Ac-05%EB%B8%94%EB%A1%9D-10%EB%85%84-%EA%B3%B5%EA%B3%B5%EC%9E%84%EB%8C%80%EC%A3%BC%ED%83%9D(%EB%A6%AC%EC%B8%A0,TRUE,2020-06 주장은 현행 공식화면에서 미확인. PDF(bff83f…) 페이지로 지정
SRC-E1-A05,위례,국토해양부 보도자료,위례신도시 보금자리 2949가구 내달 5일부터 본청약,국토해양부,2011-11-29,2026-08-31T21:16:29+09:00,https://www.korea.kr/news/policyNewsView.do?newsId=148723111,data/raw/evidence/documents/위례/2011-11-29_위례신도시_보금자리_2949가구_내달_5일부터_본청약.html,0d97e44a94f96b7a2b340bfcb7c3a8364acd7bed754b4c12ace566c1aa71f6c2,위례신도시 보금자리 2949가구 본청약 보도자료 본문 > 주민입주 시점 문단,"위례신도시 보금자리 2949가구가 본청약을 진행하며, 주민입주는 2013년말 경 이루어질 예정이다.",occupancy_first_planned,2013-12,month,,district,high,verified,원문 직접 확인; 장래 시점 서술이므로 occupancy_first_actual에서 재분류,A05,E1-A05,2G_historical,https://www.korea.kr/news/policyNewsView.do?newsId=148723111,html,2013-12-31,2013-12-01,2013-12-31,,주민입주는 2013년말 경 이루어질 예정이다,200,158590,evidence/text/2011-11-29_위례신도시_보금자리_2949가구_내달_5일부터_본청약.txt,Y_NORMALIZED,0.98,,,FALSE,1,,,,,,,,,,,,,2011년 본청약 보도자료의 2013년말 입주 예정,planned_district_baseline,unverified,,,,,,,,,,,,2011-11-29_위례신도시_보금자리_2949가구_내달_5일부터_본청약.txt,,,,,,TRUE,parkd,2026-09-02T20:11:00+09:00,A1B1C1D1E1,,,,,,
SRC-E1-A06,위례,공공기관 공고,"위례지구 A1-5BL, A1-12BL 분양주택 입주자 모집",SH공사,2020-11-19,2026-08-31T21:16:29+09:00,https://mediahub.seoul.go.kr/archives/1302679,data/raw/evidence/documents/위례/2020-11-19_위례지구_A1-5BL__A1-12BL_분양주택_입주자_모집.html,9bfb5fd75d138d350deeff3a082f5c7910d568cbe9f2b4d933ea1bab35950a26,LH 위례지구 A1-5BL 입주자 모집공고 > 입주예정일 항목,"위례지구 A1-5BL(1,282세대) 조감도. 이르면 내년 8월 입주할 수 있는 위례신도시 공공분양 2개 블록의 입주자 모집이 시작되며, 입주는 2021년 8월 예정이다.",occupancy_planned_block,2021.8.,month,,block,high,verified,원문 직접 확인,A06,E1-A06,2G_historical,https://mediahub.seoul.go.kr/archives/1302679,html,2021-08-31,2021-08-01,2021-08-31,,입주는 2021년 8월 예정이다,200,127826,evidence/text/2020-11-19_위례지구_A1-5BL__A1-12BL_분양주택_입주자_모집.txt,Y_NORMALIZED,0.98,,,FALSE,1,,A1,,,,,,,,,,,입주자모집공고/공급정보의 입주예정일,planned_block,unverified,,,,,,,,,,,,2020-11-19_위례지구_A1-5BL__A1-12BL_분양주택_입주자_모집.txt,,,,,,TRUE,parkd,2026-09-02T20:11:00+09:00,A1B1C1D1E1,,,,,,
SRC-E1-A07,남양주 다산,공공기관 공고,다산신도시 지금지구 A1블록 국민임대주택 입주자모집공고,LH,2015-08-11,2026-08-31T21:16:29+09:00,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=7766,data/raw/evidence/documents/남양주 다산/2015-08-11_다산신도시_지금지구_A1블록_국민임대주택_입주자모집공고.html,2514f69cab8c2f81040add73d02a37db5347508a5714c2acfa347bfffe0258d4,LH 다산신도시 지금지구 A1블록 모집공고 > 입주예정연도 항목,다산신도시 지금지구 A1블록 국민임대주택 입주자모집공고. 입주예정연도: 2016년.,occupancy_planned_block,2016년,year,,block,high,verified,원문 직접 확인,A07,E1-A07,2G_historical,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=7766,html,2016-12-31,2016-01-01,2016-12-31,,입주예정연도: 2016년,200,166818,evidence/text/2015-08-11_다산신도시_지금지구_A1블록_국민임대주택_입주자모집공고.txt,Y_NORMALIZED,0.98,,,FALSE,1,,A1,v1,superseded,,,,,,,,,입주자모집공고/공급정보의 입주예정일,planned_block,unverified,,,,,,,,,,,,2015-08-11_다산신도시_지금지구_A1블록_국민임대주택_입주자모집공고.txt,,,,,,TRUE,parkd,2026-09-02T20:11:00+09:00,A1B1C1D1E1,,,,,,
SRC-E1-A08,남양주 다산,공공기관 공고,남양주 다산역 A2 경기행복주택 입주자모집,LH,2018-12-12,2026-09-02T18:00:00+09:00,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=6410,data/raw/evidence/＇25년 상반기 경기행복주택 예비입주자 추가모집 공고.pdf,17e730dc3c2b81cfa2c2e820f79ca45e50b657236b8cb5870235dfbf463083b2,PDF p.35,입주예정 시기는 입주자격심사 종료 후 개별적으로 알려드립니다.,occupancy_planned_block,,unknown,,block,high,rejected,제시된 마이홈 링크는 2019-12-16 추가모집 화면이며 최초 입주일 값이 비어 있음; 2025 추가모집 PDF도 정확한 입주시기를 개별 통보한다고만 명시,A08,E1-A08,2G_historical,https://blog.naver.com/wise8949/221417570455,pdf,,,,,,200,1578117,data/staged/pdf_text/17e730dc3c2b81cfa2c2e820f79ca45e50b657236b8cb5870235dfbf463083b2.txt,TEXT_FAIL,0,QUARANTINED; 비원문/URL불량,target_date_absent,FALSE,1,,A2,,,,https://www.nyj.go.kr/www/downloadBbsFile.do?bbsNo=62&nttNo=494806&atchmnflNo=1504230,data/raw/evidence/＇25년 상반기 경기행복주택 예비입주자 추가모집 공고.pdf,17e730dc3c2b81cfa2c2e820f79ca45e50b657236b8cb5870235dfbf463083b2,,,,,입주자모집공고/공급정보의 입주예정일,planned_block,unverified,ai_extraction_pending_human_page_check,,PDF-052,data/raw/evidence/＇25년 상반기 경기행복주택 예비입주자 추가모집 공고.pdf,17e730dc3c2b81cfa2c2e820f79ca45e50b657236b8cb5870235dfbf463083b2,sha256,1.0,matched_existing,success,89,149770,,,,,,,,,,,,,,,,
SRC-E1-A09,하남 미사,공공기관 공고,하남미사17단지 임대주택 입주자모집공고,LH,2025-03-14,2026-08-31T21:16:29+09:00,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=2015122300017628&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07&mi=1026,data/raw/evidence/documents/하남 미사/2025-03-14_하남미사17단지_임대주택_입주자모집공고.html,ed89eaafefe6bedf10fbdd14d6ffd26f6db3ea172a6961e787b0659cb092edf4,LH 하남미사 17단지 모집공고 > 입주예정월 항목,하남미사 17단지 소재지 경기도 하남시 미사강변서로 167(망월동). 입주예정월 : 2016.07,occupancy_planned_block,2016.07,month,,block,high,verified,원문 직접 확인,A09,E1-A09,2G_historical,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=2015122300017628&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07&mi=1026,html,2016-07-31,2016-07-01,2016-07-31,,입주예정월 : 2016.07,200,253207,evidence/text/2025-03-14_하남미사17단지_임대주택_입주자모집공고.txt,Y_NORMALIZED,0.98,,,FALSE,1,,,,,,,,,,,,,입주자모집공고/공급정보의 입주예정일,planned_block,unverified,,,,,,,,,,,,2025-03-14_하남미사17단지_임대주택_입주자모집공고.txt,,,,,,TRUE,parkd,2026-09-02T20:11:00+09:00,A1B1C1D1E1,,,,,,
SRC-E1-A10,하남 미사,공공기관 공고,"미사강변도시 A24, A25블록 10년 공공임대주택리츠 입주자 모집",NHF제6호및제7호공공임대위탁관리부동산투자회사,2016-07-01,2026-09-02T18:00:00+09:00,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=920,data/raw/evidence/미사강변도시 A24블록 10년 공공임대주택리츠 입주자 모집.pdf,fe6a75eea6be0515dd7aae147197495ec4ecbc0e96e953f867d6a3d269c7dcbd,LH myhome pblancId=920 공고 PDF p.1 > 최초 입주 시기 항목,최초 입주 시기 2018년 11월 (하남미사 대상),occupancy_planned_block,2018-11,month,,block,high,verified,A24와 A25의 최초 입주시기가 달라 블록별 레코드로 분리,A10,E1-A10,2G_historical,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/list.do (myhome pblancId=920),pdf,2018-11-30,2018-11-01,2018-11-30,,최초 입주 시기 2018년 11월,200,164969,data/staged/pdf_text/fe6a75eea6be0515dd7aae147197495ec4ecbc0e96e953f867d6a3d269c7dcbd.txt,Y_NORMALIZED,0.98,,,FALSE,1,,A24,v1,superseded,,,,,,,,,입주자모집공고/공급정보의 입주예정일,planned_block,unverified,ai_extraction_pending_human_page_check,,,data/raw/evidence/미사강변도시 A24블록 10년 공공임대주택리츠 입주자 모집.pdf,fe6a75eea6be0515dd7aae147197495ec4ecbc0e96e953f867d6a3d269c7dcbd,,,,,,,myhome pblancId=920 PDF 추출 txt,,,,,,TRUE,parkd,2026-09-02T20:22:00+09:00,A1B1C1D1E1,,,,https://m.cafe.daum.net/apt3456/QdJA/3363,,
