pdf_id,filename,sha256,disposition,reason,event_types,developments,registry_match
PDF-001,(250131)고양창릉A-4블록신혼희망타운(공공분양)입주자모집공고문.pdf,e9ecf26d9d265a70fb06ab20847c338f10a9bf24ef3dbf6ed58c57c6a251b931,target_event,housing_recruitment_notice,occupancy_planned_block,고양 창릉,SRC-F019
PDF-002,(250724)남양주왕숙A-2블록신혼희망타운(공공분양)입주자모집공고문.pdf,70517aa73243cce5a00fb02792ec0a84e4aad3c728a1a5c48546bfa0f8409442,target_event,housing_recruitment_notice,occupancy_planned_block,남양주 왕숙,SRC-F008
PDF-003,(251127)남양주왕숙_B-17BL_공공분양_입주자모집공고문.pdf,0f2f8e767b8aaf98df7013e0bdfb1f133a23c7e784c22ac5ab774d071ffa4e37,target_event,housing_recruitment_notice,occupancy_planned_block,남양주 왕숙,SRC-U001
PDF-004,(정정)(정정)고양창릉S-3블록입주자모집공고문.pdf,35fef79a31d18fdeecb52bc6a15e08811e6857245dbd14d220753f3597a10981,target_event,housing_recruitment_notice,occupancy_planned_block,고양 창릉,SRC-E2-A09
PDF-005,(정정)(정정)고양창릉S-4블록공공분양입주자모집공고문.pdf,25311d447e7f43c48655b96613b1ff2bc56371612a268932071bfb8429e5107d,target_event,housing_recruitment_notice,occupancy_planned_block,고양 창릉,SRC-E2-A09
PDF-006,(정정)250424_교산푸르지오더퍼스트_입주자모집공고.pdf,08438e6ac19967e88de5ae5dfe94e8f5bd891efefd0eb07195d96045b0707fa6,target_event,housing_recruitment_notice,occupancy_planned_block,하남 교산,SRC-U002
PDF-007,"(정정)고양창릉S-5,S-6블록공공분양주택입주자모집공고문.pdf",a65a5c4807f9e93fe2cd6c465ccaaccae2657d5b48db24ded879e80b26468319,target_event,housing_recruitment_notice,occupancy_planned_block,고양 창릉,SRC-F020
PDF-008,(정정)교산푸르지오더퍼스트_입주자모집공고.pdf,17f890d3468fb4f720c33fa6aefb56dd0eb6cfae7df0b4bd9996a5b6f554de4d,target_event,housing_recruitment_notice,occupancy_planned_block,하남 교산,SRC-U002
PDF-009,(정정공고) 다산신도시 자연앤푸르지오 입주자모집 정정공고(A3).pdf,78e1f182e7fd0b7a08ca5d3c27ae6e6d7fda39a6479c6788bce1f18d7d80e999,target_event,housing_recruitment_notice,occupancy_planned_block,남양주 다산,SRC-H021
PDF-010,(정정공고)인천계양A-2블록공공분양입주자모집공고문.pdf,f7202e924988f383730f245784e37a1ec66f0f54d655fb3b8171c45314389195,target_event,housing_recruitment_notice,occupancy_planned_block,인천 계양,SRC-E2-A06
PDF-011,(정정공고)인천계양A3블록단지내상가분양공고문(게시용).pdf,5f2a920d6c4eef88fda95d7fd9fb6692d4f8aed29368d2e5a968886069317666,context_or_out_of_scope,commercial_notice_out_of_scope,,인천 계양,
PDF-012,(참고자료)김포양곡_행복주택_사회적기업공간_위치_및_공간현황.pdf,a3c74951c8e5c04931fc3d631c069bf6b22718e2978eb0d577e1941c58393e7f,target_event,housing_recruitment_notice,occupancy_planned_block,김포 한강,SRC-H009
PDF-013,(참고자료)김포한강_행복주택_사회적기업공간_위치_및_공간_현황.pdf,e1ebc0fea640403e26a71cfea8ebace74b5da734ea1371ad0713ba9974d0da49,target_event,housing_recruitment_notice,occupancy_planned_block,김포 한강,SRC-H010
PDF-014,(최종)250331_교산푸르지오더퍼스트_입주자모집공고.pdf,b247b3e65cb7029821c352a345952c0fb73323ae3462b90b52f5b653dca1a2f5,target_event,housing_recruitment_notice,occupancy_planned_block,하남 교산,SRC-U002
PDF-015,110624(조간)__11년_6~8월_입주예정_아파트_공개(주택정책과).pdf,dc233154be5b674cb88e215791cc0f37d90bdbe94d06dff17e6fed269a0f7d9f,target_event,regional_move_in_schedule,occupancy_first_actual,김포 한강,
PDF-016,140630_LH_미사강변도시_첫_입주_시작.pdf,6a368721bcef1b229bfe5bd3bb2d40b5ddf61811dd86483a53841c6ecdfc15a4,target_event,district_move_in_evidence,occupancy_first_actual,하남 미사,SRC-H025
PDF-017,200521(14시이후) 하남교산 신도시_과천지구 광역교통개선대책 확정(공공택지기획과).pdf,fb08785a7962ad8088d930c4598ac1d095187eb34f7a52ea2b675bb0f5fc72cc,target_event,transport_plan_or_promise,promise_date,하남 교산,SRC-E1-B09
PDF-018,200521(14시이후)+하남교산+신도시_과천지구+광역교통개선대책+확정(공공택지기획과).pdf,fbe43488370ed17260f5eb6525fcfb25d0453d9a5c2222cb252bf9de41dd62d1,target_event,transport_plan_or_promise,promise_date,하남 교산,SRC-E2-B08
PDF-019,201230(조간)남양주왕숙_고양창릉 신도시 교통대책 확정(공공택지기획과 광역교통정책과).pdf,ecc470f4fb71a5b29f7499ce815fe4f6605f9de139444664a3134be6e5dcd577,target_event,transport_plan_or_promise,promise_date,남양주 왕숙;고양 창릉,SRC-F021
PDF-020,20150123_ 동탄2신도시 첫 입주.pdf,5ec7ad2f8fde7650b4723adcec0d6931c2ecdb8af0bd0ccaab60f6db6b6c63e6,target_event,district_move_in_evidence,occupancy_first_actual,화성 동탄2,
PDF-021,210125 (조간)3기 신도시_패스트트랙_교통대책 조기 확정 등으로 신속 공급(공공택지기획과).pdf,894b933a4fc5a46612a01bb5806599544d52a78c702fdf34203d30d7240bac5b,target_event,transport_plan_or_promise,promise_date,화성 동탄2;인천 계양;부천 대장,SRC-E2-B06
PDF-022,210629(15시이후)서부권 2기 신도시 (김포한강_인천검단) 교통개선 대책(광역시설운영과).pdf,f54821ed2da56cc09c6281ab080ed96a84252a1fad9af1fff9c07bb78913eb1f,target_event,transport_plan_or_promise,promise_date,김포 한강,SRC-E1-B03
PDF-023,220318(석간)_진접선_개통_남양주의_새로운_길(철도투자개발과).pdf,5ca5a14c242fdc43aba2946d19a90fd682ecf38054edf2acaaa843cc89f8112b,target_event,actual_operation_notice,actual_operation,남양주 왕숙,
PDF-024,220617(조간)_호매실_동탄2_광역교통_개선을_위해_주민의견_듣는다(광역교통정책과).pdf,ea078d9bb489eb228f003f5675c7825a8b6223f409e3dad8375bcf6a9e780378,target_event,transport_plan_or_promise,promise_date,화성 동탄2,SRC-E1-B02
PDF-025,221026(석간)_수원_호매실_화성_동탄2_광역교통특별대책_발표(광역교통정책과).pdf,b289b7a3fb07c631744d95e58f66b47e45e0a4347c138c16684c58554010050c,target_event,transport_plan_or_promise,promise_date,화성 동탄2,SRC-E1-B01
PDF-026,221111(석간)_수도권_서부지역의_광역교통_확충_등_지역현안_해결_추진(공공택지조사과).pdf,d7e578abba3c7c6fe3592dbebdaef288ee0ace8aeb5d4a35909946668e2838f1,target_event,transport_plan_or_promise,promise_date,김포 한강;하남 미사;하남 교산,SRC-E1-B04
PDF-027,221128(석간)_위례신도시_노면전차_사업으로_교통이_편리해진다(광역시설정책과).pdf,da11fbf0ece767ab2872f6f40311e00bf7df9bceafc4f9ce045d9c29bb28ed92,target_event,transport_project_promise_and_planned_service,promise_date;basic_service,위례,
PDF-028,230630(참고)_대곡-소사_복선전철_7월_1일_개통(철도투자개발과).pdf,808adcd9cfba65450c62f6187416790bf6dcca2d2c50af97e8ecee5c8f9a84fc,target_event,actual_operation_notice,actual_operation,고양 창릉;화성 동탄2,SRC-F024
