evidence_id,source_id,development,claim_type,event_type,event_date,date_precision,event_date_lower,event_date_upper,mode,line_name,scope,block_name,promise_verb_원문표기,page_or_section,exact_excerpt,confidence,review_status,source_url,local_path,sha256,attachment_local_path,attachment_sha256,notes
EV-E1-A04,SRC-E1-A04,김포 한강,occupancy,occupancy_planned_block,2017-08,month,2017-08-01,2017-08-31,,,block,Ac-05,입주예정월 : 2020년 06월,공급정보 > 김포한강Ac-05,입주예정월 : 2017년 08월,high,needs_human,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=0000061160&ccrCnntSysDsCd=02&uppAisTpCd=06&aisTpCd=08&mi=1026,data/raw/evidence/documents/target_refresh_20260902/SRC-E1-A04_2026-09-02.html,dd1eea25a083869bc0080717335818364f5c6e839c8171398874506adedc1b68,data/raw/evidence/김포한강Ac-05블록(센트럴블루힐)10년공공임대주택리츠예비입주자모집공고문(26.08.25).pdf,bff83f4d343364fcf84955d49a59748b9f82b4116f02cfbfb70ca9e5c3ba6b9d,기존 2020년 6월 주장은 현재 공식 링크에서 확인되지 않음; 공식 화면은 입주예정월 2017년 08월로 표시
EV-E1-A08,SRC-E1-A08,남양주 다산,occupancy,occupancy_planned_block,,unknown,,,,,block,A2,입주예정연도: 2019년,PDF p.35,입주예정 시기는 입주자격심사 종료 후 개별적으로 알려드립니다.,high,needs_human,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=6410,data/raw/evidence/＇25년 상반기 경기행복주택 예비입주자 추가모집 공고.pdf,17e730dc3c2b81cfa2c2e820f79ca45e50b657236b8cb5870235dfbf463083b2,data/raw/evidence/＇25년 상반기 경기행복주택 예비입주자 추가모집 공고.pdf,17e730dc3c2b81cfa2c2e820f79ca45e50b657236b8cb5870235dfbf463083b2,제시된 마이홈 링크는 2019-12-16 추가모집 화면이며 최초 입주일 값이 비어 있음; 2025 추가모집 PDF도 정확한 입주시기를 개별 통보한다고만 명시
EV-E1-A10,SRC-E1-A10,하남 미사,occupancy,occupancy_planned_block,2018-11,month,2018-11-01,2018-11-30,,,block,A24,이 주택의 입주자모집공고일은 2016.7.1(금),PDF p.1,"최초 입주 시기
2018년 11월",high,needs_human,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=920,data/raw/evidence/미사강변도시 A24블록 10년 공공임대주택리츠 입주자 모집.pdf,fe6a75eea6be0515dd7aae147197495ec4ecbc0e96e953f867d6a3d269c7dcbd,,,A24와 A25의 최초 입주시기가 달라 블록별 레코드로 분리
EV-E1-A10-A25,SRC-E1-A10-A25,하남 미사,occupancy,occupancy_planned_block,2018-10,month,2018-10-01,2018-10-31,,,block,A25,이 주택의 입주자모집공고일은 2016.7.1(금),PDF p.1,"최초 입주 시기
2018년 10월",high,needs_human,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=920,data/raw/evidence/미사강변도시 A25블록 10년 공공임대주택리츠 입주자 모집.pdf,90fcc484062c53afba4d33beaa9b5e0e5027ca7eea745254829727621b4dea52,,,A24와 A25의 최초 입주시기가 달라 블록별 레코드로 분리
EV-E1-B02,SRC-E1-B02,화성 동탄2,promise,promise_date,,unknown,,,multimodal,GTX-A 삼성~동탄; 서울방면 광역버스 특별대책,district,,주민간담회를 개최할 계획이다; 특별 대책을 마련하고 있다,PDF p.1,서울 방면 등에 대한 광역버스 증차,high,rejected,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95086846,data/raw/evidence/220617(조간)_호매실_동탄2_광역교통_개선을_위해_주민의견_듣는다(광역교통정책과).pdf,ea078d9bb489eb228f003f5675c7825a8b6223f409e3dad8375bcf6a9e780378,data/raw/evidence/220617(조간)_호매실_동탄2_광역교통_개선을_위해_주민의견_듣는다(광역교통정책과).pdf,ea078d9bb489eb228f003f5675c7825a8b6223f409e3dad8375bcf6a9e780378,공식 PDF 확보; 2022-06-21은 주민간담회 날짜이며 교통시설 완공·개통 목표일이 아님
EV-E1-B05,SRC-E1-B05,위례,promise,promise_date,2025-09,month,2025-09-01,2025-09-30,tram,위례선 트램,corridor,,’25년 9월 개통할 예정이다,보도자료 본문,’22년 11월 사업을 본격 착공하여 ’25년 9월 개통할 예정이다.,high,rejected,https://www.molit.go.kr/mta/USR/N0201/m_36770/dtl.jsp?lcmspage=1&id=95087500,data/raw/evidence/documents/target_refresh_20260902/SRC-E1-B05_2026-09-02.html,e32fe204aa721434cbce9866f87f1abebdb0b8a4b6f6ed5981c0e92cdd3244e6,,,제시된 URL은 2014-05-15 광역교통대책 확정 자료가 아니라 2022-11-28 위례선 사업계획 승인 자료; canonical SRC-E1-C05와 중복
EV-E1-B08,SRC-E1-B08,남양주 다산,promise,promise_date,2024-08-10,day,2024-08-10,2024-08-10,multimodal,별내선; 다산역 연계버스 9개 노선,district,,개통에 맞춰; 9개 노선 변경 및 16대를 증차한다,PDF p.1,"별내선 개통(8.10)에 맞춰 버스 18개 노선, 34대 증차 등 촘촘한 연계환승체계 구축",high,needs_human,https://www.korea.kr/news/policyNewsView.do?newsId=148931611,data/raw/evidence/240719(조간)_수도권_동부지역__출퇴근_30분_시대_실현_4.4조원_규모의_철도·도로_사업_본격_추진(광역교통정책과) (1).pdf,c9e00558131c031e6df06cef301f3d81f8c0f0fe4f6eab31b670b0512414feab,data/raw/evidence/documents/target_refresh_20260902/SRC-E1-B08_2026-09-02.html,1d72cd00dd83924f534a60db0f3228ed118a03cc18de266843584d3cef9dda90,정책브리핑 HTML과 국토교통부 보도자료 PDF를 함께 보관
EV-E1-B10,SRC-E1-B10,하남 미사,promise,promise_date,,unknown,,,road,천호대로 지하차도 변경 검토,corridor,,결정할 계획,보도자료 본문; 저장 원문 문맥,하남미사지구 광역교통개선대책 변경은 현재까지 방침이 확정된 바 없으며 전문가의 충분한 검토를 거쳐 결정할 계획이라고 밝혔다.,high,rejected,https://www.korea.kr/briefing/policyBriefingView.do?newsId=148775695,data/raw/evidence/documents/target_refresh_20260902/SRC-E1-B10_2026-09-02.html,1929aa409048a60bb18bcd573aa1d833e8f5288a2dc71c67de384878e9c0e983,"data/raw/evidence/하남미사지구 광역교통개선대책 변경, 확정된 바 없어.pdf",8c8756bf0041e944a8ce2c1e3d1d8e3aa16e34722cd7c5643a68f09fb3e5a5d9,공식 해명자료는 방침 미확정 상태만 확인하며 시설 완공·개통 목표일은 제시하지 않음
EV-E1-C01,SRC-E1-C01,화성 동탄2,operation,actual_operation,2023-02-01,day,2023-02-01,2023-02-01,express_bus,8840번 동탄~김포공항 공항버스,corridor,,2월 1일 운행을 시작,PDF p.1,경기 화성 동탄신도시에서 김포공항을 연결하는 8840번 공항버스가 내달 1일 운행을 시작한다.,medium,rejected,,data/raw/evidence/화성 동탄신도시∼김포공항 버스 노선 내달 1일부터 운행 _ 연합뉴스.pdf,e8f57f80285b5bdd4a7c065b26e86816a49adf47b0621eb892b91b0ed574c58a,data/raw/evidence/화성 동탄신도시∼김포공항 버스 노선 내달 1일부터 운행 _ 연합뉴스.pdf,e8f57f80285b5bdd4a7c065b26e86816a49adf47b0621eb892b91b0ed574c58a,단서기사: https://www.yna.co.kr/view/AKR20230131105400061 ; 공식 화성시·운영기관 운행개시 원문 미확보
EV-E1-C02,SRC-E1-C02,화성 동탄2,operation,actual_operation,2023-02-01,day,2023-02-01,2023-02-01,express_bus,8840번 동탄~김포공항 공항버스,corridor,,2월 1일부터 운행,PDF p.1,경기 화성 동탄신도시에서 김포공항을 연결하는 8840번 공항버스가 내달 1일 운행을 시작한다.,medium,rejected,,data/raw/evidence/화성 동탄신도시∼김포공항 버스 노선 내달 1일부터 운행 _ 연합뉴스.pdf,e8f57f80285b5bdd4a7c065b26e86816a49adf47b0621eb892b91b0ed574c58a,,,단서기사: https://www.yna.co.kr/view/AKR20230131105400061 ; 공식 화성시·운영기관 운행개시 원문 미확보
