cluster_id,complex_name,addr_legal,addr_query,addr_variant_used,type,status,lat,lon,crs,refined_text,level1,level2,level3,level4L,level5,representative_method,parcel_count,centroid_spread_m,coord_source,coord_fetched_at,coord_license_note,qa_flag,error_code,needs_review
A10022364,다산유보라마크뷰,경기도 남양주시 다산동 4438- 다산유보라마크뷰,경기도 남양주시 다산동 4438,full,PARCEL,OK,37.605445293877196,127.15415038050315,EPSG:4326,경기도 남양주시 다산동 4438,경기도,남양주시,,다산동,4438,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:12:15.317097+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,,,False
A10022611,제일풍경채 퍼스티어,경기도 화성동탄구 신동 157 제일풍경채 퍼스티어,신동 157,fallback,PARCEL,OK,36.098090857571975,128.46769042709724,EPSG:4326,경상북도 구미시 신동 157-1,경상북도,구미시,,신동,157-1,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:12:16.301255+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,sido_mismatch|sigungu_mismatch,,True
A10022615,다산역자연앤푸르지오,경기도 남양주시 다산동 6084 다산역자연앤푸르지오,경기도 남양주시 다산동 6084,full,PARCEL,OK,37.62200950358852,127.15062717835593,EPSG:4326,경기도 남양주시 다산동 6084,경기도,남양주시,,다산동,6084,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:12:16.936265+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,,,False
A10022646,e편한세상 동탄호수,경기도 화성동탄구 장지동 970 e편한세상 동탄호수,경기도 화성동탄구 장지동 970,full,PARCEL,OK,37.16271891708641,127.11263655507378,EPSG:4326,경기도 화성시 동탄구 장지동 970,경기도,화성시 동탄구,,장지동,970,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:12:17.415920+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,sigungu_mismatch,,True
A10022882,동탄(2) 38단지 행복주택,경기도 화성동탄구 신동 111-1 동탄(2) 38단지 행복주택,신동 111-1,fallback,PARCEL,OK,35.96579930024099,126.9628304814726,EPSG:4326,전북특별자치도 익산시 신동 111-1,전북특별자치도,익산시,,신동,111-1,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:12:19.477753+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,sido_mismatch|sigungu_mismatch,,True
A10022971,다산 포레스트 2단지,경기도 남양주시 다산동 6013 다산 포레스트 2단지,경기도 남양주시 다산동 6013,full,PARCEL,OK,37.629187626033826,127.15704868892027,EPSG:4326,경기도 남양주시 다산동 6013,경기도,남양주시,,다산동,6013,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:12:19.974038+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,,,False
A10023370,중흥s클래스 더테라스 리버파크3차(7블럭),경기도 화성동탄구 여울동 1012 중흥s클래스 더테라스 리버파크3차(7블럭),경기도 화성동탄구 여울동 1012,full,PARCEL,OK,37.18462352083779,127.08535578866795,EPSG:4326,경기도 화성시 동탄구 여울동 1012,경기도,화성시 동탄구,,여울동,1012,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:12:20.570131+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,sigungu_mismatch,,True
A10023459,호반써밋 동탄 아파트,경기도 화성동탄구 신동  호반써밋 동탄 아파트,신동 0,fallback,PARCEL,OK,37.26908717402604,128.66918461586357,EPSG:4326,강원특별자치도 정선군 신동읍 가사리-1,강원특별자치도,정선군,,신동읍,0-1,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:12:21.571527+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,sido_mismatch|sigungu_mismatch,,True
A10023573,동탄역삼정그린코아더베스트,경기도 화성동탄구 여울동 975 동탄역삼정그린코아더베스트,경기도 화성동탄구 여울동 975,full,PARCEL,OK,37.201014621054156,127.0889388253045,EPSG:4326,경기도 화성시 동탄구 여울동 975,경기도,화성시 동탄구,,여울동,975,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:12:22.102424+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,sigungu_mismatch,,True
A10023642,다산지금데시앙,경기도 남양주시 다산동 6109 다산지금데시앙,경기도 남양주시 다산동 6109,full,PARCEL,OK,37.62079103016306,127.1662819032249,EPSG:4326,경기도 남양주시 다산동 6109,경기도,남양주시,,다산동,6109,single_parcel,1,0,vworld_geocoder_2.0,2026-09-03T00:12:22.628907+00:00,VWORLD TERMS: DO NOT STORE OR REDISTRIBUTE RAW,,,False
