kapt_code,complex_name,kapt_approval_date,hub_first_useAprDay,date_match_status,kapt_household_count,hub_total_hhldCnt,hhldCnt_pct_diff,hhldCnt_flag_5pct,chosen_value,chosen_by
A10027632,송파 와이즈더샵,2016-02-26,,hub_missing,390,,,False,,
A13876114,송파꿈에그린아파트,2013-11-08,2013-11-08,exact_match,1810,1810.0,0.0,False,,
A13876113,송파더센트레아파트,2013-11-01,2013-11-01,exact_match,1139,1139.0,0.0,False,,
A10028086,위례 송파푸르지오,2015-01-23,2015-01-23,exact_match,549,549.0,0.0,False,,
A10027553,위례2차아이파크아파트,2016-05-26,2016-05-26,exact_match,495,495.0,0.0,False,,
A10027744,위례아이파크아파트,2015-11-30,2015-11-30,exact_match,400,400.0,0.0,False,,
A10023897,위례중앙푸르지오아파트,2016-12-23,2016-12-23,exact_match,311,163.0,-47.59,True,,
A10026682,위례포레샤인아파트,2017-09-28,2017-09-28,exact_match,2200,2200.0,0.0,False,,
A10027461,힐스테이트 송파위례아파트,2016-07-19,,hub_missing,490,,,False,,
A10024492,위례포레샤인13단지아파트,2020-12-22,2020-12-22,exact_match,560,560.0,0.0,False,,
A10024577,위례포레샤인18단지,2020-10-28,2020-10-28,exact_match,685,685.0,0.0,False,,
A10026777,LH위례31단지,2017-07-07,2017-07-07,exact_match,2334,2334.0,0.0,False,,
A10026623,e편한세상 테라스위례,2017-11-28,,hub_missing,360,,,False,,
A10027709,래미안위례아파트,2015-11-27,2015-11-27,exact_match,410,410.0,0.0,False,,
A10027509,위례 LH 35단지,2016-05-31,2016-05-31,exact_match,2568,2568.0,0.0,False,,
A10027369,위례 래미안이편한세상,2016-06-30,2016-06-30,exact_match,1540,1540.0,0.0,False,,
A10027692,위례더힐55,2015-12-31,2015-12-31,exact_match,1380,1380.0,0.0,False,,
A10026944,위례센트럴자이,2017-06-28,2017-06-28,exact_match,1413,1413.0,0.0,False,,
A10027595,위례센트럴푸르지오,2016-04-11,2016-04-11,exact_match,687,687.0,0.0,False,,
A10024817,"위례역푸르지오4,5,6단지",2017-10-16,,hub_missing,620,,,False,,
A10027335,위례자이아파트,2016-10-27,2016-10-27,exact_match,517,517.0,0.0,False,,
A10025589,위례포레스트사랑으로부영,2019-02-15,2019-02-15,exact_match,566,566.0,0.0,False,,
A10027277,위례호반써밋에비뉴,2016-12-06,2016-12-06,exact_match,1137,1137.0,0.0,False,,
A10027720,힐스테이트위례,2015-11-27,2015-11-27,exact_match,621,621.0,0.0,False,,
A10026164,다산 e편한세상자이아파트,2018-06-27,,hub_missing,1685,,,False,,
A10025474,다산 금강펜테리움 리버테라스2차아파트,2019-06-12,,hub_missing,1304,,,False,,
A10026600,다산 롯데캐슬아파트,2017-12-22,,hub_missing,1186,,,False,,
A10024060,다산 메트로 3단지,2021-08-31,2021-08-31,exact_match,1257,1257.0,0.0,False,,
A10025066,다산 신안인스빌퍼스트포레,2020-01-21,,hub_missing,1282,,,False,,
A10022971,다산 포레스트 2단지,2023-10-04,2023-10-04,exact_match,928,928.0,0.0,False,,
A10024093,다산 푸르지오,2021-10-27,2021-10-27,exact_match,1614,1614.0,0.0,False,,
A10025393,다산e편한세상더퍼스트,2019-06-28,2019-06-28,exact_match,491,491.0,0.0,False,,
A10026388,다산반도유보라메이플타운,2018-03-14,2018-03-14,exact_match,1085,1085.0,0.0,False,,
A10025561,다산센트럴에일린의뜰아파트,2019-04-11,2019-04-11,exact_match,759,759.0,0.0,False,,
A10024195,다산센트럴파크,2021-07-28,2021-07-28,exact_match,2075,2075.0,0.0,False,,
A10025435,다산신안인스빌퍼스트리버,2019-06-27,,hub_missing,800,,,False,,
A10026580,다산아이파크,2017-12-22,,hub_missing,467,,,False,,
A10025306,다산역 경기행복주택아파트,2019-09-02,2019-09-02,exact_match,970,970.0,0.0,False,,
A10022615,다산역자연앤푸르지오,2024-02-22,2024-02-22,exact_match,1272,1272.0,0.0,False,,
A10022364,다산유보라마크뷰,2024-07-15,2024-07-15,exact_match,194,194.0,0.0,False,,
A10026156,다산유승한내들골든뷰,2018-07-18,,hub_missing,316,,,False,,
A10026292,다산유승한내들센트럴아파트,2018-04-26,,hub_missing,642,,,False,,
A10025331,다산자연&e편한세상 3차아파트,2019-07-26,2019-07-26,exact_match,1394,1394.0,0.0,False,,
A10024153,다산자이 폴라리스,2021-07-29,,hub_missing,878,,,False,,
A10024480,다산자이아이비플레이스 아파트,2021-01-07,2021-01-07,exact_match,967,967.0,0.0,False,,
A10023863,다산지금 경기행복주택,2022-04-07,2022-04-07,exact_match,2078,2078.0,0.0,False,,
A10023642,다산지금데시앙,2022-08-19,2022-08-19,exact_match,961,961.0,0.0,False,,
A10023643,다산진건데시앙,2022-08-19,2022-08-19,exact_match,651,651.0,0.0,False,,
A10025828,다산펜테리움 리버테라스1차,2018-12-21,,hub_missing,944,,,False,,
