cluster_id,complex_name,addr_legal_raw,addr_query,addr_variant_used,type,status,lat,lon,crs,refined_text,dong_final,vw_level1_raw,vw_level2_raw,vw_level3_raw,vw_level4L_raw,vw_level4A_raw,vw_level4AC_raw,vw_level5_raw,vw_detail_raw,representative_method,parcel_count,parcel_success_count,parcel_excluded,centroid_spread_m,distance_from_anchor_km,coord_source,coord_fetched_at,coord_license_note,coord_geom_basis,coord_resolution,coord_uncertainty_m,qa_flag,error_code,needs_review,override_decision
A10022364,다산유보라마크뷰,경기도 남양주시 다산동 4438,경기도 남양주시 다산동 4438,full_parcel,PARCEL,OK,37.6054452938772,127.15415038050315,EPSG:4326,경기도 남양주시 다산동 4438,다산동,경기도,남양주시,,다산동,다산1동,4136054500,4438,101동,single_parcel,1,1,,0.0,1.51,vworld_geocoder_2.0,2026-09-03T02:10:18.360134+00:00,Realtime query. Not stored per VWorld TOS.,parcel_centroid,,0.0,,,False,
A10022611,제일풍경채 퍼스티어,경기도 화성동탄구 신동 157,경기도 화성시 동탄신리천로 618,fallback_road,ROAD,OK,37.17560061769558,127.13965851982192,EPSG:4326,"경기도 화성시 동탄구 동탄신리천로 618 (신동,제일풍경채퍼스티어)",신동,경기도,화성시 동탄구,신동,동탄신리천로,동탄9동,4159759000,618,제일풍경채퍼스티어 4111동,single_parcel,1,1,,0.0,2.65,vworld_geocoder_2.0,2026-09-03T02:10:19.519080+00:00,Realtime query. Not stored per VWorld TOS.,building_entrance,,0.0,,,False,
A10022615,다산역자연앤푸르지오,경기도 남양주시 다산동 6084,경기도 남양주시 다산동 6084,full_parcel,PARCEL,OK,37.62200950358852,127.15062717835592,EPSG:4326,경기도 남양주시 다산동 6084,다산동,경기도,남양주시,,다산동,다산1동,4136054500,6084,3401동,single_parcel,1,1,,0.0,0.18,vworld_geocoder_2.0,2026-09-03T02:10:20.032934+00:00,Realtime query. Not stored per VWorld TOS.,parcel_centroid,,0.0,,,False,
A10022628,화성동탄로렌하우스,경기도 화성동탄구 신동 358-3,경기도 화성시 동탄신리천로6길 23,fallback_road,ROAD,OK,37.18049959684208,127.14223755330192,EPSG:4326,경기도 화성시 동탄구 동탄신리천로6길 23 (신동),신동,경기도,화성시 동탄구,신동,동탄신리천로6길,동탄9동,4159759000,23,101동,single_parcel,1,1,,0.0,3.03,vworld_geocoder_2.0,2026-09-03T02:10:21.184443+00:00,Realtime query. Not stored per VWorld TOS.,building_entrance,,0.0,,,False,
A10022646,e편한세상 동탄호수,경기도 화성동탄구 장지동 970,경기도 화성시 동탄구 장지동 970,full_parcel,PARCEL,OK,37.16271891708641,127.11263655507378,EPSG:4326,경기도 화성시 동탄구 장지동 970,장지동,경기도,화성시 동탄구,,장지동,동탄8동,4159758000,970,e편한세상 동탄호수 3131동,single_parcel,1,1,,0.0,0.89,vworld_geocoder_2.0,2026-09-03T02:10:21.883049+00:00,Realtime query. Not stored per VWorld TOS.,parcel_centroid,,0.0,,,False,
A10022765,해링턴플레이스 다산파크,경기도 남양주시 다산동 3473,경기도 남양주시 미금로 98,fallback_road,ROAD,OK,37.61231214504033,127.15450194050248,EPSG:4326,경기도 남양주시 미금로 98 (다산동),다산동,경기도,남양주시,다산동,미금로,다산1동,4136054500,98,,single_parcel,1,1,,0.0,1.23,vworld_geocoder_2.0,2026-09-03T02:10:22.955851+00:00,Realtime query. Not stored per VWorld TOS.,building_entrance,,0.0,,,False,
A10022882,동탄(2) 38단지 행복주택,경기도 화성동탄구 신동 111-1,경기도 화성시 동탄신리천로5가길 35,fallback_road,ROAD,OK,37.184869871694,127.1432748226632,EPSG:4326,"경기도 화성시 동탄구 동탄신리천로5가길 35 (신동,동탄(2) 38단지 행복주택)",신동,경기도,화성시 동탄구,신동,동탄신리천로5가길,동탄9동,4159759000,35,동탄(2) 38단지 행복주택 3871동,single_parcel,1,1,,0.0,3.32,vworld_geocoder_2.0,2026-09-03T02:10:24.083839+00:00,Realtime query. Not stored per VWorld TOS.,building_entrance,,0.0,,,False,
A10022971,다산 포레스트 2단지,경기도 남양주시 다산동 6013,경기도 남양주시 다산동 6013,full_parcel,PARCEL,OK,37.62918762603383,127.15704868892028,EPSG:4326,경기도 남양주시 다산동 6013,다산동,경기도,남양주시,,다산동,다산1동,4136054500,6013,근린생활시설,single_parcel,1,1,,0.0,0.8,vworld_geocoder_2.0,2026-09-03T02:10:24.753611+00:00,Realtime query. Not stored per VWorld TOS.,parcel_centroid,,0.0,,,False,
A10023273,화성동탄2LH행복주택38단지,경기도 화성동탄구 신동 747,경기도 화성시 동탄구 신동 747,full_parcel,PARCEL,OK,37.18769339760436,127.14258835272328,EPSG:4326,경기도 화성시 동탄구 신동 747,신동,경기도,화성시 동탄구,,신동,동탄9동,4159759000,747,동탄2 LH 38단지 3801동,single_parcel,1,1,,0.0,3.43,vworld_geocoder_2.0,2026-09-03T02:10:25.325423+00:00,Realtime query. Not stored per VWorld TOS.,parcel_centroid,,0.0,,,False,
A10023345,동탄역헤리엇아파트,경기도 화성동탄구 여울동 1023,경기도 화성시 동탄구 여울동 1023,full_parcel,PARCEL,OK,37.19178020868985,127.09775247643674,EPSG:4326,경기도 화성시 동탄구 여울동 1023,여울동,경기도,화성시 동탄구,,여울동,동탄6동,4159756000,1023,동탄역 헤리엇 101동,single_parcel,1,1,,0.0,2.62,vworld_geocoder_2.0,2026-09-03T02:10:25.988357+00:00,Realtime query. Not stored per VWorld TOS.,parcel_centroid,,0.0,,,False,
A10023370,중흥s클래스 더테라스 리버파크3차(7블럭),경기도 화성동탄구 여울동 1012,경기도 화성시 동탄구 여울동 1012,full_parcel,PARCEL,OK,37.18462352083779,127.08535578866795,EPSG:4326,경기도 화성시 동탄구 여울동 1012,여울동,경기도,화성시 동탄구,,여울동,동탄6동,4159756000,1012,중흥에스클래스더테라스리버파크3차 1731동,single_parcel,1,1,,0.0,2.72,vworld_geocoder_2.0,2026-09-03T02:10:26.600370+00:00,Realtime query. Not stored per VWorld TOS.,parcel_centroid,,0.0,,,False,
A10023573,동탄역삼정그린코아더베스트,경기도 화성동탄구 여울동 975,경기도 화성시 동탄구 여울동 975,full_parcel,PARCEL,OK,37.20101462105416,127.0889388253045,EPSG:4326,경기도 화성시 동탄구 여울동 975,여울동,경기도,화성시 동탄구,,여울동,동탄6동,4159756000,975,동탄역 삼정그린코아 더베스트 101동,single_parcel,1,1,,0.0,3.89,vworld_geocoder_2.0,2026-09-03T02:10:27.246803+00:00,Realtime query. Not stored per VWorld TOS.,parcel_centroid,,0.0,,,False,
A10023642,다산지금데시앙,경기도 남양주시 다산동 6109,경기도 남양주시 다산동 6109,full_parcel,PARCEL,OK,37.62079103016306,127.1662819032249,EPSG:4326,경기도 남양주시 다산동 6109,다산동,경기도,남양주시,,다산동,다산1동,4136054500,6109,다산지금데시앙 6201동,single_parcel,1,1,,0.0,1.28,vworld_geocoder_2.0,2026-09-03T02:10:27.860296+00:00,Realtime query. Not stored per VWorld TOS.,parcel_centroid,,0.0,,,False,
A10023643,다산진건데시앙,경기도 남양주시 다산동 6026,경기도 남양주시 다산동 6026,full_parcel,PARCEL,OK,37.62738162364956,127.1486895321033,EPSG:4326,경기도 남양주시 다산동 6026,다산동,경기도,남양주시,,다산동,다산1동,4136054500,6026,다산진건데시앙 1201동,single_parcel,1,1,,0.0,0.56,vworld_geocoder_2.0,2026-09-03T02:10:28.522113+00:00,Realtime query. Not stored per VWorld TOS.,parcel_centroid,,0.0,,,False,
A10023650,동탄2 디에트르 포레,경기도 화성동탄구 신동 185-1,경기도 화성시 동탄신리천로2길 65,fallback_road,ROAD,OK,37.1757016287352,127.12797553414224,EPSG:4326,"경기도 화성시 동탄구 동탄신리천로2길 65 (신동,동탄2 디에트르 포레)",신동,경기도,화성시 동탄구,신동,동탄신리천로2길,동탄9동,4159759000,65,동탄2 디에트르 포레 2311동,single_parcel,1,1,,0.0,1.65,vworld_geocoder_2.0,2026-09-03T02:10:29.665376+00:00,Realtime query. Not stored per VWorld TOS.,building_entrance,,0.0,,,False,
A10023757,동탄2 LH40단지,경기도 화성동탄구 신동 818,경기도 화성시 동탄구 신동 818,full_parcel,PARCEL,OK,37.17575386161132,127.1422132791599,EPSG:4326,경기도 화성시 동탄구 신동 818,신동,경기도,화성시 동탄구,,신동,동탄9동,4159759000,818,동탄2엘에이치40단지 4001동,single_parcel,1,1,,0.0,2.87,vworld_geocoder_2.0,2026-09-03T02:10:30.338606+00:00,Realtime query. Not stored per VWorld TOS.,parcel_centroid,,0.0,,,False,
A10023863,다산지금 경기행복주택,경기도 남양주시 다산동 6110,경기도 남양주시 다산동 6110,full_parcel,PARCEL,OK,37.61834311280528,127.16606816378376,EPSG:4326,경기도 남양주시 다산동 6110,다산동,경기도,남양주시,,다산동,다산1동,4136054500,6110,다산지금A5 경기행복주택 6401동,single_parcel,1,1,,0.0,1.17,vworld_geocoder_2.0,2026-09-03T02:10:30.864082+00:00,Realtime query. Not stored per VWorld TOS.,parcel_centroid,,0.0,,,False,
A10023897,위례중앙푸르지오아파트,서울특별시 송파구 장지동 897,서울특별시 송파구 장지동 897,full_parcel,PARCEL,OK,37.47466808786695,127.14217951131197,EPSG:4326,,장지동,서울특별시,송파구,,장지동,위례동,1171064700,897,위례중앙푸르지오1단지 102동,centroid,2,2,,112.9,0.33,vworld_geocoder_2.0,2026-09-03T02:10:32.113720+00:00,Realtime query. Not stored per VWorld TOS.,centroid_of_2,,0.0,,,False,
A10024060,다산 메트로 3단지,경기도 남양주시 다산동 6076,경기도 남양주시 다산동 6076,full_parcel,PARCEL,OK,37.62245457894289,127.14817934172284,EPSG:4326,경기도 남양주시 다산동 6076,다산동,경기도,남양주시,,다산동,다산1동,4136054500,6076,다산 메트로3단지,single_parcel,1,1,,0.0,0.36,vworld_geocoder_2.0,2026-09-03T02:10:32.643197+00:00,Realtime query. Not stored per VWorld TOS.,parcel_centroid,,0.0,,,False,
A10024076,동탄역유림노르웨이숲아파트,경기도 화성동탄구 여울동 978,경기도 화성시 동탄구 여울동 978,full_parcel,PARCEL,OK,37.1989861462607,127.08893645154912,EPSG:4326,경기도 화성시 동탄구 여울동 978,여울동,경기도,화성시 동탄구,,여울동,동탄6동,4159756000,978,동탄역 유림노르웨이숲 101동,single_parcel,1,1,,0.0,3.69,vworld_geocoder_2.0,2026-09-03T02:10:33.488633+00:00,Realtime query. Not stored per VWorld TOS.,parcel_centroid,,0.0,,,False,
