routeid,obs_date,window,median_gap_min,p25,p75,n_events,n_multi_item_snapshots,insufficient_observation,gap_adjacent_ratio,headway_published_min,headway_delta_min,headway_source_agreement,first_bus_ok,last_bus_ok,headway_ok,analysis_window
GGB222000009,2026-09-07,AM,20.0,15.0,20.0,6,21,False,0.4,13.0,7.0,disagree,,,False,본안3일
GGB222000009,2026-09-07,PM,15.0,15.0,18.75,7,23,False,0.16666666666666666,13.0,2.0,agree_within_5min,,,True,본안3일
GGB222000009,2026-09-08,AM,15.0,11.25,18.75,7,24,False,0.0,13.0,2.0,agree_within_5min,,,True,본안3일
GGB222000009,2026-09-08,PM,20.0,15.0,25.0,6,23,False,0.0,13.0,7.0,disagree,,,False,본안3일
GGB222000009,2026-09-09,AM,15.0,11.25,18.75,7,24,False,0.0,13.0,2.0,agree_within_5min,,,True,본안3일
GGB222000009,2026-09-09,PM,20.0,20.0,20.0,6,23,False,0.2,13.0,7.0,disagree,,,False,본안3일
GGB222000013,2026-09-07,AM,,,,3,21,True,,12.0,,observed_insufficient,,,,본안3일
GGB222000013,2026-09-07,PM,20.0,20.0,35.0,4,23,False,0.3333333333333333,12.0,8.0,disagree,,,False,본안3일
GGB222000013,2026-09-08,AM,20.0,15.0,20.0,6,24,False,0.0,12.0,8.0,disagree,,,False,본안3일
GGB222000013,2026-09-08,PM,15.0,15.0,18.75,7,23,False,0.0,12.0,3.0,agree_within_5min,,,True,본안3일
GGB222000013,2026-09-09,AM,20.0,17.5,21.25,5,24,False,0.0,12.0,8.0,disagree,,,False,본안3일
GGB222000013,2026-09-09,PM,20.0,15.0,20.0,6,23,False,0.2,12.0,8.0,disagree,,,False,본안3일
GGB222000027,2026-09-07,AM,,,,3,21,True,,25.0,,observed_insufficient,,,,본안3일
GGB222000027,2026-09-07,PM,,,,2,23,True,,25.0,,observed_insufficient,,,,본안3일
GGB222000027,2026-09-08,AM,25.0,22.5,26.25,5,24,False,0.0,25.0,0.0,agree_within_5min,,,True,본안3일
GGB222000027,2026-09-08,PM,,,,2,23,True,,25.0,,observed_insufficient,,,,본안3일
GGB222000027,2026-09-09,AM,27.5,17.5,36.25,5,24,False,0.0,25.0,2.5,agree_within_5min,,,True,본안3일
GGB222000027,2026-09-09,PM,,,,2,23,True,,25.0,,observed_insufficient,,,,본안3일
GGB222000028,2026-09-07,AM,17.5,10.0,31.25,5,21,False,0.25,12.0,5.5,disagree,,,False,본안3일
GGB222000028,2026-09-07,PM,10.0,10.0,15.0,10,23,False,0.1111111111111111,12.0,-2.0,agree_within_5min,,,True,본안3일
GGB222000028,2026-09-08,AM,15.0,7.5,15.0,8,24,False,0.0,12.0,3.0,agree_within_5min,,,True,본안3일
GGB222000028,2026-09-08,PM,10.0,10.0,15.0,8,23,False,0.0,12.0,-2.0,agree_within_5min,,,True,본안3일
GGB222000028,2026-09-09,AM,10.0,10.0,15.0,8,24,False,0.0,12.0,-2.0,agree_within_5min,,,True,본안3일
GGB222000028,2026-09-09,PM,15.0,10.0,15.0,8,23,False,0.14285714285714285,12.0,3.0,agree_within_5min,,,True,본안3일
GGB222000031,2026-09-07,AM,,,,3,21,True,,15.0,,observed_insufficient,,,,본안3일
GGB222000031,2026-09-07,PM,30.0,25.0,30.0,4,23,False,0.3333333333333333,15.0,15.0,disagree,,,False,본안3일
GGB222000031,2026-09-08,AM,20.0,17.5,32.5,4,24,False,0.0,15.0,5.0,agree_within_5min,,,True,본안3일
GGB222000031,2026-09-08,PM,20.0,15.0,25.0,6,23,False,0.0,15.0,5.0,agree_within_5min,,,True,본안3일
GGB222000031,2026-09-09,AM,30.0,30.0,30.0,4,24,False,0.0,15.0,15.0,disagree,,,False,본안3일
GGB222000031,2026-09-09,PM,20.0,18.75,23.75,5,23,False,0.25,15.0,5.0,agree_within_5min,,,True,본안3일
GGB222000032,2026-09-07,AM,,,,2,21,True,,20.0,,observed_insufficient,,,,본안3일
GGB222000032,2026-09-07,PM,,,,3,23,True,,20.0,,observed_insufficient,,,,본안3일
GGB222000032,2026-09-08,AM,,,,2,24,True,,20.0,,observed_insufficient,,,,본안3일
GGB222000032,2026-09-08,PM,30.0,27.5,32.5,4,23,False,0.0,20.0,10.0,disagree,,,False,본안3일
GGB222000032,2026-09-09,AM,,,,1,24,True,,20.0,,observed_insufficient,,,,본안3일
GGB222000032,2026-09-09,PM,20.0,17.5,37.5,4,23,False,0.3333333333333333,20.0,0.0,agree_within_5min,,,True,본안3일
GGB222000048,2026-09-07,AM,,,,3,21,True,,15.0,,observed_insufficient,,,,본안3일
GGB222000048,2026-09-07,PM,20.0,20.0,23.75,5,23,False,0.25,15.0,5.0,agree_within_5min,,,True,본안3일
GGB222000048,2026-09-08,AM,25.0,22.5,25.0,4,24,False,0.0,15.0,10.0,disagree,,,False,본안3일
GGB222000048,2026-09-08,PM,25.0,20.0,30.0,5,23,False,0.0,15.0,10.0,disagree,,,False,본안3일
GGB222000048,2026-09-09,AM,25.0,22.5,27.5,4,24,False,0.0,15.0,10.0,disagree,,,False,본안3일
GGB222000048,2026-09-09,PM,25.0,18.75,30.0,5,23,False,0.25,15.0,10.0,disagree,,,False,본안3일
GGB222000078,2026-09-07,AM,20.0,17.5,27.5,5,20,False,0.25,15.0,5.0,agree_within_5min,,,True,본안3일
GGB222000078,2026-09-07,PM,20.0,13.75,26.25,5,23,False,0.25,15.0,5.0,agree_within_5min,,,True,본안3일
GGB222000078,2026-09-08,AM,20.0,20.0,20.0,6,24,False,0.0,15.0,5.0,agree_within_5min,,,True,본안3일
GGB222000078,2026-09-08,PM,25.0,25.0,30.0,4,23,False,0.0,15.0,10.0,disagree,,,False,본안3일
GGB222000078,2026-09-09,AM,17.5,11.25,20.0,7,22,False,0.0,15.0,2.5,agree_within_5min,,,True,본안3일
GGB222000078,2026-09-09,PM,20.0,10.0,20.0,6,23,False,0.2,15.0,5.0,agree_within_5min,,,True,본안3일
GGB222000180,2026-09-07,AM,,,,3,21,True,,30.0,,observed_insufficient,,,,본안3일
GGB222000180,2026-09-07,PM,,,,3,23,True,,30.0,,observed_insufficient,,,,본안3일
GGB222000180,2026-09-08,AM,20.0,12.5,32.5,4,24,False,0.0,30.0,-10.0,disagree,,,False,본안3일
GGB222000180,2026-09-08,PM,,,,3,23,True,,30.0,,observed_insufficient,,,,본안3일
GGB222000180,2026-09-09,AM,35.0,32.5,37.5,4,24,False,0.0,30.0,5.0,agree_within_5min,,,True,본안3일
GGB222000180,2026-09-09,PM,25.0,20.0,32.5,4,23,False,0.3333333333333333,30.0,-5.0,agree_within_5min,,,True,본안3일
GGB222000199,2026-09-07,AM,20.0,10.0,31.25,5,21,False,0.5,12.0,8.0,disagree,,,False,본안3일
GGB222000199,2026-09-07,PM,22.5,18.75,27.5,5,23,False,0.25,12.0,10.5,disagree,,,False,본안3일
GGB222000199,2026-09-08,AM,15.0,7.5,20.0,8,24,False,0.0,12.0,3.0,agree_within_5min,,,True,본안3일
GGB222000199,2026-09-08,PM,17.5,15.0,20.0,7,23,False,0.0,12.0,5.5,disagree,,,False,본안3일
GGB222000199,2026-09-09,AM,10.0,10.0,17.5,8,24,False,0.0,12.0,-2.0,agree_within_5min,,,True,본안3일
GGB222000199,2026-09-09,PM,22.5,18.75,30.0,5,23,False,0.25,12.0,10.5,disagree,,,False,본안3일
GGB234000003,2026-09-07,AM,,,,3,21,True,,50.0,,observed_insufficient,,,,본안3일
GGB234000003,2026-09-07,PM,,,,1,23,True,,50.0,,observed_insufficient,,,,본안3일
GGB234000003,2026-09-08,AM,,,,3,24,True,,50.0,,observed_insufficient,,,,본안3일
GGB234000003,2026-09-08,PM,,,,2,22,True,,50.0,,observed_insufficient,,,,본안3일
GGB234000003,2026-09-09,AM,,,,3,23,True,,50.0,,observed_insufficient,,,,본안3일
GGB234000003,2026-09-09,PM,,,,2,23,True,,50.0,,observed_insufficient,,,,본안3일
