kapt_code,kapt_name,addr_legal,addr_road,approval_date,approval_date_raw,household_count,bldg_count,pilot_guess,signal_name,signal_addr,signal_period,signal_score,human_match_status,human_reviewer,human_reviewed_at,reject_reason
A44581301,동탄퍼스트파크,경기도 화성동탄구 영천동 651-1397 동탄퍼스트파크,경기도 화성시 동탄순환대로30길 8,2003-10-20,20031020,470,6,DEV-DONGTAN2,False,True,False,1,rejected,parkd,2026-09-02,승인일 2003-10-20 < window 2014-01-01
A44571002,신동탄푸르지오,경기도 화성병점구 기산동 466 신동탄푸르지오,경기도 화성시 동탄지성로 405,2005-04-28,20050428,993,16,DEV-DONGTAN2,False,True,False,1,rejected,parkd,2026-09-02,"법정동 ""기산동""은 화성 동탄2 지구 밖 (원도심/타지구)"
A44571702,동탄역신미주,경기도 화성동탄구 여울동 964 동탄역신미주,경기도 화성시 동탄감배산로 30,2005-10-31,20051031,538,8,DEV-DONGTAN2,False,True,False,1,rejected,parkd,2026-09-02,승인일 2005-10-31 < window 2014-01-01
A44516002,시범다은 메타역 롯데캐슬아파트,경기도 화성동탄구 반송동 101 시범다은 메타역 롯데캐슬아파트,경기도 화성시 메타폴리스로 22,2007-01-25,20070125,429,6,DEV-DONGTAN2,False,True,False,1,rejected,parkd,2026-09-02,승인일 2007-01-25 < window 2014-01-01
A44516006,시범다은마을포스코더샵,경기도 화성동탄구 반송동 102 시범다은마을포스코더샵,경기도 화성시 동탄문화센터로 39,2007-01-26,20070126,514,8,DEV-DONGTAN2,False,True,False,1,rejected,parkd,2026-09-02,승인일 2007-01-26 < window 2014-01-01
A44572804,동탄시범한빛마을KCC스위첸,경기도 화성동탄구 반송동 19 동탄시범한빛마을KCC스위첸,경기도 화성시 동탄시범한빛길 38,2007-01-29,20070129,484,6,DEV-DONGTAN2,False,True,False,1,rejected,parkd,2026-09-02,승인일 2007-01-29 < window 2014-01-01
A44572517,동탄시범한빛마을아이파크,경기도 화성동탄구 반송동 85 동탄시범한빛마을아이파크,경기도 화성시 동탄지성로 42,2007-01-29,20070129,748,8,DEV-DONGTAN2,False,True,False,1,rejected,parkd,2026-09-02,승인일 2007-01-29 < window 2014-01-01
A44516005,시범다은마을삼성래미안,경기도 화성동탄구 반송동 100 시범다은마을삼성래미안,경기도 화성시 메타폴리스로 6,2007-02-05,20070205,514,7,DEV-DONGTAN2,False,True,False,1,rejected,parkd,2026-09-02,승인일 2007-02-05 < window 2014-01-01
A44579008,동탄금호어울림,경기도 화성동탄구 반송동 82 동탄금호어울림,경기도 화성시 동탄중앙로 213,2007-02-23,20070223,548,5,DEV-DONGTAN2,False,True,False,1,rejected,parkd,2026-09-02,승인일 2007-02-23 < window 2014-01-01
A44516016,삼부르네상스,경기도 화성동탄구 반송동 83 삼부르네상스,경기도 화성시 동탄반석로 207,2007-02-23,20070223,732,10,DEV-DONGTAN2,False,True,False,1,rejected,parkd,2026-09-02,승인일 2007-02-23 < window 2014-01-01
A44516011,시범다은마을우남퍼스트빌,경기도 화성동탄구 반송동 79 시범다은마을우남퍼스트빌,경기도 화성시 동탄중앙로 171,2007-03-07,20070307,610,8,DEV-DONGTAN2,False,True,False,1,rejected,parkd,2026-09-02,승인일 2007-03-07 < window 2014-01-01
A44516007,시범한빛마을한화꿈에그린,경기도 화성동탄구 반송동 21 시범한빛마을한화꿈에그린,경기도 화성시 동탄시범한빛길 10,2007-03-27,20070327,534,6,DEV-DONGTAN2,False,True,False,1,rejected,parkd,2026-09-02,승인일 2007-03-27 < window 2014-01-01
A44573621,시범다은마을월드반도,경기도 화성동탄구 반송동 80 시범다은마을월드반도,경기도 화성시 동탄중앙로 189,2007-05-22,20070522,1473,18,DEV-DONGTAN2,False,True,False,1,rejected,parkd,2026-09-02,승인일 2007-05-22 < window 2014-01-01
A44573609,동탄나루마을 동탄역 U.BORA 여울숲1.0,경기도 화성동탄구 반송동 224 동탄나루마을 동탄역 U.BORA 여울숲1.0,경기도 화성시 동탄반석로 16,2007-09-14,20070914,568,8,DEV-DONGTAN2,False,True,False,1,rejected,parkd,2026-09-02,승인일 2007-09-14 < window 2014-01-01
