kapt_code,matched_pilots
A10026837,DEV-HANAM-MISA | DEV-WIRYE
A10025930,DEV-HANAM-MISA | DEV-WIRYE
A10025534,DEV-HANAM-MISA | DEV-WIRYE
A10027368,DEV-HANAM-MISA | DEV-WIRYE
A10026619,DEV-HANAM-MISA | DEV-WIRYE
A10027782,DEV-HANAM-MISA | DEV-WIRYE
A10027379,DEV-HANAM-MISA | DEV-WIRYE
A10027846,DEV-HANAM-MISA | DEV-WIRYE
A10028200,DEV-HANAM-MISA | DEV-WIRYE
A10027537,DEV-HANAM-MISA | DEV-WIRYE
A10028157,DEV-HANAM-MISA | DEV-WIRYE
A10027691,DEV-HANAM-MISA | DEV-WIRYE
A10026105,DEV-HANAM-MISA | DEV-WIRYE
A10028139,DEV-HANAM-MISA | DEV-WIRYE
A10025941,DEV-HANAM-MISA | DEV-WIRYE
A10027180,DEV-HANAM-MISA | DEV-WIRYE
A10027978,DEV-HANAM-MISA | DEV-WIRYE
A10027514,DEV-HANAM-MISA | DEV-WIRYE
A10026784,DEV-HANAM-MISA | DEV-WIRYE
A10025469,DEV-HANAM-MISA | DEV-WIRYE
A10027476,DEV-HANAM-MISA | DEV-WIRYE
A10026131,DEV-HANAM-MISA | DEV-WIRYE
A10025953,DEV-HANAM-MISA | DEV-WIRYE
A10027552,DEV-HANAM-MISA | DEV-WIRYE
A10026501,DEV-HANAM-MISA | DEV-WIRYE
A10025947,DEV-HANAM-MISA | DEV-WIRYE
A10026707,DEV-HANAM-MISA | DEV-WIRYE
A10027308,DEV-HANAM-MISA | DEV-WIRYE
A10027116,DEV-HANAM-MISA | DEV-WIRYE
A10025667,DEV-HANAM-MISA | DEV-WIRYE
A10025739,DEV-HANAM-MISA | DEV-WIRYE
A10025966,DEV-HANAM-MISA | DEV-WIRYE
A10024890,DEV-HANAM-MISA | DEV-WIRYE
A10025991,DEV-HANAM-MISA | DEV-WIRYE
A10028143,DEV-HANAM-MISA | DEV-WIRYE
A10026040,DEV-HANAM-MISA | DEV-WIRYE
A10027385,DEV-HANAM-MISA | DEV-WIRYE
A10027359,DEV-HANAM-MISA | DEV-WIRYE
A10028065,DEV-HANAM-MISA | DEV-WIRYE
A10026806,DEV-HANAM-MISA | DEV-WIRYE
A10026523,DEV-HANAM-MISA | DEV-WIRYE
A10027344,DEV-HANAM-MISA | DEV-WIRYE
A10024992,DEV-HANAM-MISA | DEV-WIRYE
A10024644,DEV-HANAM-MISA | DEV-WIRYE
A10024895,DEV-HANAM-MISA | DEV-WIRYE
A10024941,DEV-HANAM-MISA | DEV-WIRYE
A10025339,DEV-HANAM-MISA | DEV-WIRYE
A10025043,DEV-HANAM-MISA | DEV-WIRYE
A10024569,DEV-HANAM-MISA | DEV-WIRYE
A10027070,DEV-HANAM-MISA | DEV-WIRYE
A10027715,DEV-HANAM-MISA | DEV-WIRYE
A10027546,DEV-HANAM-MISA | DEV-WIRYE
A10024124,DEV-HANAM-MISA | DEV-WIRYE
A10027686,DEV-HANAM-MISA | DEV-WIRYE
A10024304,DEV-HANAM-MISA | DEV-WIRYE
A10024378,DEV-HANAM-MISA | DEV-WIRYE
A10027741,DEV-HANAM-MISA | DEV-WIRYE
A10024247,DEV-HANAM-MISA | DEV-WIRYE
