kapt_code,kapt_name,addr_legal,addr_road
A10020074,더샵송파루미스타,서울특별시 송파구 가락동 161-3 더샵송파루미스타,
A10020088,세양아르비채리버,경기도 남양주시 와부읍 덕소리 462-50 세양아르비채리버,
A10020100,풍납동신동아아파트,서울특별시 송파구 풍납동 220-2 풍납동신동아아파트,
A10020230,잠실르엘,서울특별시 송파구 신천동 17-6 잠실르엘,
A10020294,잠실래미안아이파크,서울특별시 송파구 신천동 20-4 잠실래미안아이파크,
A10020796,잠실더샵루벤,서울특별시 송파구 송파동 171- 잠실더샵루벤,
A10021104,김포동양파라곤2차아파트,경기도 김포시 북변동 904- 김포동양파라곤2차아파트,
A10021157,삼전현대아파트,서울특별시 송파구 삼전동 39- 삼전현대아파트,
A10021256,가락풍림아파트,서울특별시 송파구 가락동 142- 가락풍림아파트,
A10021336,김포동양파라곤1차,경기도 김포시 북변동 902- 김포동양파라곤1차,
A10021390,송파가락두산위브센티움,서울특별시 송파구 가락동 98- 송파가락두산위브센티움,
A10021425,오금쌍용스윗닷홈1차,서울특별시 송파구 오금동 29- 오금쌍용스윗닷홈1차,
A10021457,방이금호어울림아파트,서울특별시 송파구 방이동 157- 방이금호어울림아파트,
A10021460,현대아파트,경기도 김포시 북변동 267- 현대아파트,
A10021504,송파파밀리에더퍼스트아파트,서울특별시 송파구 송파동 245- 송파파밀리에더퍼스트아파트,
A10021515,감일역트루엘,경기도 하남시 감이동 514-3 감일역트루엘,
A10021523,풍납현대사원아파트,서울특별시 송파구 풍납동 251-2 풍납현대사원아파트,
A10022027,효성올림픽카운티,서울특별시 송파구 방이동 51-4 효성올림픽카운티,
A10022030,문정현대아파트,서울특별시 송파구 문정동 104- 문정현대아파트,
A10022142,김포센트럴헤센2단지아파트,경기도 김포시 감정동 706- 김포센트럴헤센2단지아파트,
A10022249,아남아파트,서울특별시 송파구 마천동 9- 아남아파트,
A10022291,한강메이플카운티,"경기도 남양주시 호평동 617-2,경기도 남양주시 호평동 617-2 한강메이플카운티",
A10022293,동신아파트,"경기도 하남시 신장동 452-1,경기도 하남시 신장동 452-1 동신아파트",
A10022403,힐스테이트 e편한세상 문정아파트,서울특별시 송파구 문정동 656 힐스테이트 e편한세상 문정아파트,
A10022435,명지캐럿108,경기도 하남시 신장동 415-10 명지캐럿108,
A10022457,신일해피트리2단지아파트,경기도 남양주시 오남읍 오남리 426- 신일해피트리2단지아파트,
A10022570,고촌센트럴자이아파트,경기도 김포시 고촌읍 신곡리  고촌센트럴자이아파트,경기도 김포시 수기로 137
A10022621,문정동마에스트로청년주택,서울특별시 송파구 문정동 55-6 문정동마에스트로청년주택,서울특별시 송파구 문정로 1
A10022649,송파더플래티넘,서울특별시 송파구 오금동 67 송파더플래티넘,서울특별시 송파구 성내천로6길 1-13
A10022717,김포고촌 양우내안애아파트,경기도 김포시 고촌읍 신곡리 474 김포고촌 양우내안애아파트,경기도 김포시 신곡로 75
A10022845,산성역자이푸르지오1단지,경기도 성남수정구 신흥동 6961 산성역자이푸르지오1단지,경기도 성남시 수정구 수정로 260
A10022853,산성역 자이푸르지오2단지,경기도 성남수정구 신흥동 6963 산성역 자이푸르지오2단지,경기도 성남시 수정구 수정로 288
A10022854,산성역자이푸르지오3단지,경기도 성남수정구 신흥동 6971 산성역자이푸르지오3단지,경기도 성남시 수정구 희망로 531
A10022929,산성역자이푸르지오4단지,경기도 성남수정구 신흥동 6970 산성역자이푸르지오4단지,경기도 성남시 수정구 희망로 533
