cluster_id,citycode,nodeid,nodenm,nodeno,api_lat,api_lon,list_lat,list_lon,coord_delta_m,recomputed_dist_m,api_radius_claim_m,reference_missing,direction_label,has_trunk_route,smoke_test_at,smoke_result,raw_snapshot_path,review_status,verified_by,verified_at,reject_reason,raw_citycode_response_path
A10022364,31130,GGB222001318,가운휴먼시아.다산효성해링턴타워.새마을금고다산본점(중),23927,37.6051167,127.15575,37.6051167,127.15575,0.0,145.57417308771008,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10022364,31130,GGB222000989,다산해모로.다산센트레빌.롯데아파트,23087,37.60625,127.1524667,37.60625,127.1524667,0.0,173.21901636144187,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10022364,31130,GGB222001319,가운휴먼시아.다산효성해링턴타워.새마을금고다산본점(중),23931,37.6054333,127.1561833,37.6054333,127.1561833,0.0,179.0892102454372,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10022364,31130,GGB222000990,롯데아파트.다산센트레빌.다산해모로,23088,37.6068167,127.1523333,37.6068167,127.1523333,0.0,221.0799269875681,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10022364,31130,GGB222000887,다산리버팰리체아파트,23085,37.6083333,127.15205,37.6083333,127.15205,0.0,370.62000752596015,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10022364,31130,GGB222000888,다산리버팰리체아파트,23086,37.6084,127.15215,37.6084,127.15215,0.0,372.8209827663477,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10022611,31240,GGB233001316,힐스테이트.금강펜테리움,55913,37.1744167,127.13795,37.1744167,127.13795,0.0,200.61059842167708,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10022611,31240,GGB233000329,제일풍경채.행복주택40단지,55801,37.17665,127.1416167,37.17665,127.1416167,0.0,209.0807410372147,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10022611,31240,GGB233001305,금강펜테리움.힐스테이트,55912,37.1741333,127.13815,37.1741333,127.13815,0.0,210.91247375444723,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10022611,31240,GGB233000331,제일풍경채.행복주택40단지,55802,37.17715,127.1414,37.17715,127.1414,0.0,231.273422612661,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10022611,31240,GGB233000355,동탄9동행정복지센터,55817,37.1799833,127.138,37.1799833,127.138,0.0,509.0023797003305,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10022611,31240,GGB233000356,동탄9동행정복지센터,55818,37.1802667,127.1377333,37.1802667,127.1377333,0.0,546.1618873626861,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10022615,31130,GGB222000874,다산역자연앤푸르지오,49924,37.6223667,127.1515167,37.6223667,127.1515167,0.0,87.83540169309235,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10022615,31130,GGB222000875,다산역자연앤푸르지오,49925,37.6224333,127.1517167,37.6224333,127.1517167,0.0,106.9034605283714,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10022615,31130,GGB222001919,다산가람초교.벧엘교회,49789,37.62055,127.1495167,37.62055,127.1495167,0.0,189.4818970775568,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10022615,31130,GGB222000878,다산역1번출구,49928,37.6238167,127.1508,37.6238167,127.1508,0.0,201.52667756865227,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10022615,31130,GGB222001918,다산가람초교.벧엘교회,49788,37.62035,127.1497,37.62035,127.1497,0.0,201.78962661511505,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10022615,31130,GGB222000877,다산역1번출구,49927,37.6242,127.15085,37.6242,127.15085,0.0,244.36135165248544,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10022628,31240,GGB233000982,(임시)55단지,55970,37.1834167,127.1409667,37.1834167,127.1409667,0.0,343.35071500745846,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10022628,31240,GGB233000331,제일풍경채.행복주택40단지,55802,37.17715,127.1414,37.17715,127.1414,0.0,379.7777947390746,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10022628,31240,GGB233000355,동탄9동행정복지센터,55817,37.1799833,127.138,37.1799833,127.138,0.0,379.7828934466029,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10022628,31240,GGB233001206,(임시)55단지,55971,37.18385,127.1407833,37.18385,127.1407833,0.0,394.19541244112094,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10022628,31240,GGB233000356,동탄9동행정복지센터,55818,37.1802667,127.1377333,37.1802667,127.1377333,0.0,399.8851915064873,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10022628,31240,GGB233000329,제일풍경채.행복주택40단지,55801,37.17665,127.1416167,37.17665,127.1416167,0.0,431.5751839586668,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10022646,31240,GGB233002953,서연중고등학교,37005,37.1615333,127.1116833,37.1615333,127.1116833,0.0,156.57560562056864,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10022646,31240,GGB233002952,서연중고등학교,37004,37.1613667,127.1117167,37.1613667,127.1117167,0.0,171.0331431975955,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10022646,31240,GGB233003133,레이크반도9차,55529,37.1619,127.1161167,37.1619,127.1161167,0.0,321.5533640834973,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10022646,31240,GGB233003166,레이크반도9차,55563,37.1620167,127.1162333,37.1620167,127.1162333,0.0,328.1480555708137,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10022646,31240,GGB233000428,금호어울림레이크.우남더테라스,55662,37.1619,127.1088333,37.1619,127.1088333,0.0,349.1076544018271,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10022646,31240,GGB233001748,자연앤자이.센트리체,55503,37.1657333,127.1142,37.1657333,127.1142,0.0,362.6868039742516,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10022765,31130,GGB222001925,다산1동주민센터.해링턴플레이스다산파크,49795,37.6127333,127.1547333,37.6127333,127.1547333,0.0,51.07230883003391,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10022765,31130,GGB222001924,다산1동주민센터.해링턴플레이스다산파크,49794,37.6130167,127.1548333,37.6130167,127.1548333,0.0,83.60332689802534,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10022765,31130,GGB222000851,도농고앞,23093,37.6116167,127.1531333,37.6116167,127.1531333,0.0,143.2258663645057,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10022765,31130,GGB222001637,부영7단지.도농초등학교,49517,37.6116,127.1561,37.6116,127.1561,0.0,161.50887300796504,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10022765,31130,GGB222001640,부영7단지.도농초.플루리움2단지,49520,37.612,127.15665,37.612,127.15665,0.0,192.36727279387904,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10022765,31130,GGB222000852,도농고앞,23092,37.6113167,127.1523333,37.6113167,127.1523333,0.0,220.7759772605579,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10022882,31240,GGB233001206,(임시)55단지,55971,37.18385,127.1407833,37.18385,127.1407833,0.0,248.14905247955932,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10022882,31240,GGB233000982,(임시)55단지,55970,37.1834167,127.1409667,37.1834167,127.1409667,0.0,260.61322243148334,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10022882,31240,GGB233002981,(임시)행복주택,55973,37.1870833,127.1414,37.1870833,127.1414,0.0,296.91741119309586,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10022882,31240,GGB233000896,(임시)행복주택,55972,37.1874667,127.14175,37.1874667,127.14175,0.0,318.7869635685796,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10022882,31240,GGB233002980,동탄파크릭스,55974,37.1910667,127.14175,37.1910667,127.14175,0.0,702.1704205519478,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10022882,31240,GGB233000356,동탄9동행정복지센터,55818,37.1802667,127.1377333,37.1802667,127.1377333,0.0,709.2238952458229,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10022971,31130,GGB222000790,다산중학교.성산플레이스1,49915,37.6283667,127.1566833,37.6283667,127.1566833,0.0,96.78823174989768,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10022971,31130,GGB222001929,다산포레스트2단지.반도유보라입구,49799,37.6294333,127.1558167,37.6294333,127.1558167,0.0,111.88003517396672,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
