cluster_id,complex_name,variant,query,type,status,lat,lon,refined_text,level4L,level4A,level5,d_from_first_m
A10026126,동탄호반베르디움6차아파트,parcel_as_is,경기도 화성시 동탄구 장지동 98,PARCEL,OK,37.145558526267195,127.10434376429248,경기도 화성시 동탄구 장지동 산 98,장지동,,98,0.0
A10026126,동탄호반베르디움6차아파트,san_explicit,경기도 화성시 동탄구 장지동 산 98,PARCEL,OK,37.145558526267195,127.10434376429248,경기도 화성시 동탄구 장지동 산 98,장지동,,98,0.0
A10026126,동탄호반베르디움6차아파트,road,경기도 화성시 동탄대로4다길 78,ROAD,OK,37.15673095110809,127.11132195547933,"경기도 화성시 동탄구 동탄대로4다길 78 (장지동,동탄2신도시 호반베르디움 33단지)",동탄대로4다길,동탄8동,78,1387.7
A10026126,동탄호반베르디움6차아파트,parcel_0,경기도 화성시 동탄구 장지동 98,PARCEL,OK,37.145558526267195,127.10434376429248,경기도 화성시 동탄구 장지동 산 98,장지동,,98,0.0
A10026126,동탄호반베르디움6차아파트,parcel_1,경기도 화성시 동탄구 장지동 98,PARCEL,OK,37.145558526267195,127.10434376429248,경기도 화성시 동탄구 장지동 산 98,장지동,,98,0.0
A10026206,동탄2 롯데캐슬,parcel_as_is,경기도 화성시 동탄구 장지동 95,PARCEL,OK,37.14315285697999,127.10458924388107,경기도 화성시 동탄구 장지동 산 95,장지동,,95,0.0
A10026206,동탄2 롯데캐슬,san_explicit,경기도 화성시 동탄구 장지동 산 95,PARCEL,OK,37.14315285697999,127.10458924388107,경기도 화성시 동탄구 장지동 산 95,장지동,,95,0.0
A10026206,동탄2 롯데캐슬,road,경기도 화성시 동탄대로2길 49,ROAD,OK,37.158268336387735,127.10885517646149,"경기도 화성시 동탄구 동탄대로2길 49 (장지동,동탄2 롯데캐슬)",동탄대로2길,동탄8동,49,1722.8
A10026206,동탄2 롯데캐슬,parcel_0,경기도 화성시 동탄구 장지동 95,PARCEL,OK,37.14315285697999,127.10458924388107,경기도 화성시 동탄구 장지동 산 95,장지동,,95,0.0
A10026206,동탄2 롯데캐슬,parcel_1,경기도 화성시 동탄구 장지동 95,PARCEL,OK,37.14315285697999,127.10458924388107,경기도 화성시 동탄구 장지동 산 95,장지동,,95,0.0
A10025583,동탄2 아이파크A100BL,parcel_as_is,경기도 화성시 동탄구 장지동 623,PARCEL,OK,37.16076159649593,127.12278167555559,경기도 화성시 동탄구 장지동 623-3,장지동,,623-3,0.0
A10025583,동탄2 아이파크A100BL,san_explicit,경기도 화성시 동탄구 장지동 산 623,PARCEL,NOT_FOUND,,,,,,,
A10025583,동탄2 아이파크A100BL,road,경기도 화성시 동탄대로4길 143,ROAD,OK,37.160286878440274,127.12069646710627,"경기도 화성시 동탄구 동탄대로4길 143 (장지동,동탄2아이파크)",동탄대로4길,동탄8동,143,192.2
A10025583,동탄2 아이파크A100BL,parcel_0,경기도 화성시 동탄구 장지동 623,PARCEL,OK,37.16076159649593,127.12278167555559,경기도 화성시 동탄구 장지동 623-3,장지동,,623-3,0.0
A10025583,동탄2 아이파크A100BL,parcel_1,경기도 화성시 동탄구 장지동 623,PARCEL,OK,37.16076159649593,127.12278167555559,경기도 화성시 동탄구 장지동 623-3,장지동,,623-3,0.0
A10026990,한강센트럴자이2차,parcel_as_is,경기도 김포시 장기동 867,PARCEL,OK,37.63393286770764,126.67281536972362,경기도 김포시 장기동 867-14,장기동,,867-14,0.0
A10026990,한강센트럴자이2차,san_explicit,경기도 김포시 장기동 산 867,PARCEL,NOT_FOUND,,,,,,,
A10026990,한강센트럴자이2차,road,경기도 김포시 태장로 846,ROAD,OK,37.63524588896172,126.67488234836676,"경기도 김포시 태장로 846 (장기동,한강센트럴자이2단지)",태장로,장기동,846,233.3
A10027957,구래역화성파크드림아파트,parcel_as_is,경기도 김포시 구래동 6888,PARCEL,OK,37.64192146180554,126.62655708559087,경기도 김포시 구래동 6888-1,구래동,,6888-1,0.0
A10027957,구래역화성파크드림아파트,san_explicit,경기도 김포시 구래동 산 6888,PARCEL,NOT_FOUND,,,,,,,
A10027957,구래역화성파크드림아파트,road,경기도 김포시 김포한강8로 365,ROAD,OK,37.63996158837204,126.62983237121853,"경기도 김포시 김포한강8로 365 (구래동,구래역화성파크드림)",김포한강8로,구래동,365,361.5
A10027692,위례더힐55,parcel_as_is,경기도 성남시 수정구 창곡동 521,PARCEL,OK,37.47002528856963,127.1549600876763,경기도 성남시 수정구 창곡동 521,창곡동,위례동,521,0.0
A10027692,위례더힐55,san_explicit,경기도 성남시 수정구 창곡동 산 521,PARCEL,OK,37.47002528856963,127.1549600876763,경기도 성남시 수정구 창곡동 521,창곡동,위례동,521,0.0
A10027692,위례더힐55,road,경기도 성남시 수정구 위례순환로 150,ROAD,OK,37.47057384861547,127.14374304529848,"경기도 성남시 수정구 위례순환로 150 (창곡동,래미안 위례)",위례순환로,위례동,150,991.8
A10027692,위례더힐55,parcel_0,경기도 성남시 수정구 창곡동 521,PARCEL,OK,37.47002528856963,127.1549600876763,경기도 성남시 수정구 창곡동 521,창곡동,위례동,521,0.0
A10027692,위례더힐55,parcel_1,경기도 성남시 수정구 창곡동 2-10,PARCEL,NOT_FOUND,,,,,,,
